City_District,Year,Season,Crop_Type,Failure_Rate_Percentage,Affected_Area_Hectares,Primary_Cause,Economic_Loss_Crores
Jalna,2024,Zaid,Rice,78.98,2815.74,Soil Degradation,222.39
Vasai-Virar,2022,Zaid,Bajra,8.86,1594.81,Unseasonal Rain,14.13
Mumbai,2024,Rabi,Jowar,67.49,4374.98,Heatwave,295.27
Palghar,2024,Kharif,Onion,45.02,4459.38,Pest Attack,200.76
Kalyan-Dombivli,2022,Zaid,Onion,90.46,2240.9,Heatwave,202.71
Washim,2022,Rabi,Maize,32.86,3586.58,Flood,117.86
Malegaon,2021,Kharif,Bajra,29.34,1134.69,Drought,33.29
Ambarnath,2024,Kharif,Sugarcane,42.31,4273.46,Disease,180.81
Malegaon,2022,Zaid,Onion,29.52,4748.84,Disease,140.19
Nashik,2023,Zaid,Onion,50.81,458.44,Drought,23.29
Bhusawal,2022,Kharif,Bajra,38.65,2209.98,Flood,85.42
Bhiwandi,2024,Zaid,Soybean,5.22,2703.77,Drought,14.11
Mumbai,2024,Kharif,Rice,25.4,3597.38,Heatwave,91.37
Bhandara,2024,Rabi,Jowar,89.8,4570.72,Pest Attack,410.45
Chandrapur,2022,Zaid,Soybean,39.9,1930.93,Pest Attack,77.04
Yavatmal,2022,Rabi,Jowar,83.86,3149.46,Flood,264.11
Hingoli,2023,Rabi,Cotton,56.23,2656.12,Disease,149.35
Chandrapur,2022,Zaid,Maize,53.57,674.87,Drought,36.15
Bhiwandi,2024,Rabi,Maize,5.46,4050.54,Pest Attack,22.12
Sindhudurg,2022,Rabi,Onion,6.47,3214.07,Flood,20.8
Akola,2022,Kharif,Wheat,77.04,2041.34,Heatwave,157.26
Kalyan-Dombivli,2024,Kharif,Sugarcane,9.41,1493.1,Drought,14.05
Gondia,2021,Rabi,Bajra,52.92,2954.45,Drought,156.35
Ambarnath,2022,Kharif,Wheat,89.29,1148.79,Disease,102.58
Wardha,2024,Zaid,Soybean,78.23,1893.73,Heatwave,148.15
Navi Mumbai,2023,Rabi,Maize,36.8,544.25,Soil Degradation,20.03
Nashik,2022,Zaid,Maize,74.59,4315.88,Disease,321.92
Wardha,2023,Rabi,Cotton,76.87,3527.31,Unseasonal Rain,271.14
Parbhani,2022,Rabi,Soybean,34.07,4122.86,Soil Degradation,140.47
Osmanabad,2024,Kharif,Bajra,22.42,199.51,Soil Degradation,4.47
Vasai-Virar,2022,Kharif,Onion,92.2,4163.13,Disease,383.84
Wardha,2024,Rabi,Tur (Pigeon Pea),64.78,2823.34,Drought,182.9
Aurangabad,2024,Rabi,Bajra,37.89,3905.45,Disease,147.98
Sindhudurg,2024,Kharif,Tur (Pigeon Pea),91.47,1239.97,Drought,113.42
Washim,2023,Kharif,Bajra,28.7,3318.97,Flood,95.25
Ulhasnagar,2021,Rabi,Bajra,45.99,752.55,Heatwave,34.61
Latur,2021,Rabi,Onion,89.5,436.45,Unseasonal Rain,39.06
Washim,2024,Zaid,Tur (Pigeon Pea),79.62,2943.9,Disease,234.39
Pune,2021,Rabi,Cotton,38.71,377.52,Disease,14.61
Kalyan-Dombivli,2021,Kharif,Maize,72.68,985.8,Drought,71.65
Beed,2023,Kharif,Cotton,80.85,4259.61,Disease,344.39
Bhandara,2022,Zaid,Bajra,46.2,3209.09,Drought,148.26
Bhandara,2021,Kharif,Maize,51.91,2729.85,Disease,141.71
Navi Mumbai,2021,Zaid,Soybean,49.47,384.59,Heatwave,19.03
Nanded,2024,Kharif,Maize,51.06,3083.54,Flood,157.45
Solapur,2022,Rabi,Rice,13.69,3278.42,Flood,44.88
Pune,2023,Rabi,Jowar,30.21,3091.87,Drought,93.41
Kalyan-Dombivli,2021,Zaid,Onion,25.88,2820.23,Heatwave,72.99
Ulhasnagar,2022,Kharif,Sugarcane,53.99,2313.32,Drought,124.9
Ichalkaranji,2022,Kharif,Jowar,75.37,3192.55,Drought,240.62
Ulhasnagar,2023,Kharif,Sugarcane,16.29,4429.79,Heatwave,72.16
Amravati,2022,Kharif,Wheat,74.94,2260.94,Drought,169.43
Ichalkaranji,2021,Kharif,Bajra,7.87,169.14,Heatwave,1.33
Beed,2024,Zaid,Soybean,29.13,4780.09,Pest Attack,139.24
Kalyan-Dombivli,2021,Rabi,Jowar,20.77,592.16,Soil Degradation,12.3
Satara,2021,Zaid,Bajra,45.17,831.66,Flood,37.57
Jalna,2022,Zaid,Wheat,9.87,1234.06,Pest Attack,12.18
Hingoli,2022,Rabi,Cotton,65.52,3049.46,Pest Attack,199.8
Navi Mumbai,2024,Rabi,Rice,13.77,1737.7,Heatwave,23.93
Beed,2022,Kharif,Onion,61.72,2374.84,Disease,146.58
Ratnagiri,2024,Kharif,Maize,71.47,1457.33,Drought,104.16
Sindhudurg,2021,Kharif,Tur (Pigeon Pea),36.86,860.08,Drought,31.7
Vasai-Virar,2024,Rabi,Maize,20.47,2718.33,Flood,55.64
Satara,2021,Rabi,Soybean,9.55,2053.05,Soil Degradation,19.61
Parbhani,2024,Zaid,Rice,71.65,1627.36,Soil Degradation,116.6
Ambarnath,2022,Zaid,Tur (Pigeon Pea),45.89,4851.01,Flood,222.61
Beed,2022,Zaid,Maize,86.63,402.25,Drought,34.85
Wardha,2024,Kharif,Soybean,22.08,492.84,Heatwave,10.88
Sangli,2022,Zaid,Rice,84.24,3410.03,Heatwave,287.26
Mira-Bhayandar,2024,Rabi,Maize,45.81,1612.58,Soil Degradation,73.87
Ambarnath,2021,Rabi,Maize,68.46,975.68,Drought,66.8
Bhusawal,2024,Rabi,Sugarcane,17.33,3550.29,Drought,61.53
Jalna,2021,Zaid,Sugarcane,69.06,1093.71,Disease,75.53
Amravati,2022,Zaid,Cotton,40.92,1243.17,Unseasonal Rain,50.87
Jalgaon,2024,Kharif,Sugarcane,90.73,480.19,Pest Attack,43.57
Wardha,2021,Kharif,Tur (Pigeon Pea),93.6,3723.04,Disease,348.48
Jalna,2023,Kharif,Cotton,70.96,4184.21,Soil Degradation,296.91
Akola,2021,Zaid,Cotton,75.84,858.77,Heatwave,65.13
Aurangabad,2024,Zaid,Rice,5.11,4819.85,Disease,24.63
Kalyan-Dombivli,2022,Rabi,Jowar,54.73,4234.33,Drought,231.74
Vasai-Virar,2023,Kharif,Soybean,52.87,2570.63,Soil Degradation,135.91
Ahmednagar,2024,Kharif,Rice,20.09,752.65,Flood,15.12
Nandurbar,2022,Rabi,Bajra,46.6,1246.21,Pest Attack,58.07
Bhusawal,2022,Rabi,Jowar,73.35,4169.95,Heatwave,305.87
Pune,2023,Kharif,Bajra,10.13,1795.57,Pest Attack,18.19
Beed,2024,Rabi,Wheat,75.22,1902.15,Disease,143.08
Nandurbar,2022,Zaid,Rice,72.57,1728.52,Disease,125.44
Ambarnath,2023,Zaid,Tur (Pigeon Pea),51.75,1666.27,Unseasonal Rain,86.23
Ratnagiri,2021,Zaid,Bajra,66.79,2219.97,Unseasonal Rain,148.27
Sindhudurg,2022,Kharif,Jowar,63.42,2992.58,Drought,189.79
Latur,2023,Zaid,Tur (Pigeon Pea),27.98,3294.6,Flood,92.18
Chandrapur,2023,Zaid,Sugarcane,7.65,2441.18,Drought,18.68
Osmanabad,2023,Kharif,Jowar,84.31,4699.48,Pest Attack,396.21
Gondia,2024,Kharif,Maize,19.62,4244.46,Flood,83.28
Jalna,2021,Kharif,Onion,39.27,778.54,Disease,30.57
Osmanabad,2021,Kharif,Cotton,88.45,4613.56,Flood,408.07
Vasai-Virar,2023,Kharif,Wheat,7.27,1657.37,Soil Degradation,12.05
Jalgaon,2021,Kharif,Wheat,26.17,4185.7,Pest Attack,109.54
Mira-Bhayandar,2021,Rabi,Soybean,66.69,2929.92,Drought,195.4
Panvel,2023,Rabi,Maize,73.46,4796.85,Heatwave,352.38
Sangli,2021,Rabi,Cotton,79.0,4996.7,Pest Attack,394.74
Malegaon,2023,Kharif,Rice,21.95,3836.54,Heatwave,84.21
Ratnagiri,2022,Zaid,Maize,48.55,1512.62,Unseasonal Rain,73.44
Bhandara,2021,Zaid,Cotton,11.15,4442.56,Disease,49.53
Pune,2024,Rabi,Maize,71.11,4351.16,Unseasonal Rain,309.41
Vasai-Virar,2023,Zaid,Sugarcane,77.7,3662.67,Heatwave,284.59
Amravati,2022,Rabi,Bajra,26.7,2186.37,Drought,58.38
Gondia,2022,Kharif,Wheat,35.83,2432.12,Heatwave,87.14
Mira-Bhayandar,2023,Rabi,Rice,41.83,833.18,Drought,34.85
Dhule,2021,Rabi,Bajra,62.5,1590.96,Heatwave,99.44
Latur,2023,Kharif,Rice,80.84,1324.91,Flood,107.11
Dhule,2024,Zaid,Sugarcane,48.81,4963.64,Heatwave,242.28
Parbhani,2023,Kharif,Wheat,68.24,4780.46,Drought,326.22
Thane,2021,Zaid,Wheat,8.52,4478.24,Drought,38.15
Dhule,2021,Rabi,Wheat,46.6,220.81,Unseasonal Rain,10.29
Bhandara,2023,Kharif,Jowar,41.26,1921.45,Pest Attack,79.28
Beed,2021,Kharif,Maize,60.3,4781.56,Disease,288.33
Nanded,2021,Kharif,Tur (Pigeon Pea),85.07,4855.6,Pest Attack,413.07
Latur,2021,Kharif,Soybean,57.32,2941.33,Unseasonal Rain,168.6
Ratnagiri,2022,Kharif,Rice,75.43,3499.38,Pest Attack,263.96
Gondia,2024,Zaid,Sugarcane,17.73,4876.93,Disease,86.47
Osmanabad,2022,Kharif,Bajra,66.69,760.93,Pest Attack,50.75
Vasai-Virar,2021,Kharif,Tur (Pigeon Pea),20.51,1130.94,Pest Attack,23.2
Ulhasnagar,2021,Rabi,Soybean,17.7,3727.38,Pest Attack,65.97
Satara,2022,Rabi,Soybean,91.36,3567.55,Disease,325.93
Nanded,2023,Zaid,Onion,29.02,1856.63,Unseasonal Rain,53.88
Dhule,2024,Rabi,Cotton,11.93,3549.1,Heatwave,42.34
Akola,2024,Zaid,Wheat,89.54,4485.25,Flood,401.61
Ulhasnagar,2024,Kharif,Onion,16.55,2140.03,Heatwave,35.42
Akola,2023,Kharif,Bajra,5.52,1479.46,Heatwave,8.17
Latur,2024,Kharif,Wheat,81.23,3209.48,Heatwave,260.71
Ichalkaranji,2022,Rabi,Maize,9.52,425.12,Soil Degradation,4.05
Dhule,2024,Kharif,Cotton,76.69,2389.22,Flood,183.23
Aurangabad,2024,Zaid,Sugarcane,74.88,2268.15,Pest Attack,169.84
Panvel,2024,Kharif,Wheat,37.99,2350.89,Flood,89.31
Ichalkaranji,2021,Kharif,Sugarcane,77.34,2191.86,Soil Degradation,169.52
Panvel,2024,Zaid,Maize,62.47,3132.4,Heatwave,195.68
Hingoli,2022,Kharif,Tur (Pigeon Pea),43.35,3163.32,Disease,137.13
Nanded,2021,Rabi,Maize,69.12,1651.13,Heatwave,114.13
Ulhasnagar,2023,Rabi,Onion,33.24,4380.34,Drought,145.6
Osmanabad,2023,Kharif,Cotton,50.91,1535.32,Disease,78.16
Amravati,2023,Rabi,Jowar,31.58,3072.23,Heatwave,97.02
Sangli,2021,Rabi,Bajra,37.47,4249.88,Drought,159.24
Mumbai,2022,Rabi,Wheat,67.07,1936.28,Soil Degradation,129.87
Chandrapur,2023,Kharif,Cotton,75.56,3743.67,Heatwave,282.87
Kolhapur,2021,Zaid,Onion,52.14,3484.73,Unseasonal Rain,181.69
Sangli,2024,Rabi,Tur (Pigeon Pea),45.98,4213.59,Soil Degradation,193.74
Mira-Bhayandar,2023,Kharif,Rice,24.21,4649.73,Disease,112.57
Sindhudurg,2022,Kharif,Jowar,75.76,3825.04,Heatwave,289.79
Sangli,2023,Zaid,Tur (Pigeon Pea),32.64,2657.55,Pest Attack,86.74
Solapur,2023,Zaid,Jowar,59.09,2457.7,Disease,145.23
Parbhani,2023,Zaid,Onion,94.18,1356.08,Drought,127.72
Hingoli,2021,Rabi,Onion,10.68,4487.21,Flood,47.92
Bhusawal,2023,Kharif,Rice,72.79,3308.41,Soil Degradation,240.82
Gondia,2021,Kharif,Cotton,9.71,3830.18,Heatwave,37.19
Aurangabad,2024,Rabi,Soybean,63.39,4109.24,Heatwave,260.48
Osmanabad,2021,Rabi,Soybean,33.51,1838.36,Unseasonal Rain,61.6
Navi Mumbai,2023,Rabi,Maize,22.92,1001.06,Soil Degradation,22.94
Jalna,2022,Rabi,Soybean,32.31,3640.65,Drought,117.63
Satara,2021,Zaid,Tur (Pigeon Pea),25.34,4600.39,Pest Attack,116.57
Aurangabad,2023,Rabi,Cotton,10.29,2314.28,Pest Attack,23.81
Aurangabad,2021,Kharif,Maize,38.82,2524.5,Pest Attack,98.0
Osmanabad,2022,Zaid,Rice,46.47,3980.57,Drought,184.98
Ratnagiri,2023,Rabi,Soybean,25.85,2162.32,Heatwave,55.9
Panvel,2021,Zaid,Sugarcane,7.36,2317.26,Pest Attack,17.06
Washim,2021,Rabi,Tur (Pigeon Pea),86.98,3335.43,Heatwave,290.12
Ambarnath,2021,Rabi,Tur (Pigeon Pea),86.37,4557.64,Pest Attack,393.64
Navi Mumbai,2023,Rabi,Onion,51.11,4700.9,Pest Attack,240.26
Yavatmal,2022,Kharif,Onion,49.24,4989.2,Flood,245.67
Wardha,2021,Rabi,Tur (Pigeon Pea),31.94,524.62,Disease,16.76
Sangli,2021,Rabi,Wheat,67.81,3773.81,Soil Degradation,255.9
Sindhudurg,2024,Kharif,Wheat,82.89,2083.1,Unseasonal Rain,172.67
Sindhudurg,2024,Rabi,Rice,82.0,2700.63,Unseasonal Rain,221.45
Satara,2023,Kharif,Maize,90.11,1577.47,Flood,142.15
Nanded,2021,Zaid,Maize,11.56,4034.46,Soil Degradation,46.64
Parbhani,2021,Kharif,Jowar,68.39,1677.22,Flood,114.71
Pune,2021,Rabi,Wheat,74.52,2654.57,Disease,197.82
Bhandara,2022,Rabi,Onion,19.11,1295.72,Soil Degradation,24.76
Thane,2022,Zaid,Tur (Pigeon Pea),12.43,861.07,Soil Degradation,10.7
Gondia,2022,Rabi,Maize,86.23,1802.24,Drought,155.41
Jalgaon,2022,Zaid,Onion,11.84,3344.77,Unseasonal Rain,39.6
Solapur,2024,Rabi,Wheat,88.95,3236.99,Heatwave,287.93
Gondia,2024,Zaid,Sugarcane,15.28,832.42,Drought,12.72
Ulhasnagar,2024,Kharif,Wheat,71.85,2792.01,Drought,200.61
Thane,2023,Kharif,Wheat,49.33,1713.82,Flood,84.54
Washim,2022,Zaid,Rice,22.05,375.64,Drought,8.28
Solapur,2022,Kharif,Sugarcane,66.44,2563.86,Unseasonal Rain,170.34
Ulhasnagar,2022,Kharif,Onion,77.45,1964.46,Drought,152.15
Palghar,2024,Kharif,Tur (Pigeon Pea),68.7,1925.84,Disease,132.31
Akola,2022,Rabi,Rice,33.62,4002.29,Drought,134.56
Aurangabad,2022,Kharif,Wheat,32.92,1632.41,Disease,53.74
Jalna,2024,Zaid,Bajra,22.57,1828.2,Flood,41.26
Ahmednagar,2022,Rabi,Rice,8.14,4423.31,Heatwave,36.01
Beed,2024,Kharif,Jowar,92.64,4297.65,Drought,398.13
Panvel,2024,Rabi,Bajra,11.6,3679.78,Drought,42.69
Aurangabad,2024,Zaid,Cotton,18.67,4007.86,Soil Degradation,74.83
Ichalkaranji,2024,Zaid,Onion,85.95,4401.79,Heatwave,378.33
Sangli,2023,Zaid,Rice,91.99,3493.34,Unseasonal Rain,321.35
Hingoli,2024,Zaid,Wheat,80.9,2971.02,Pest Attack,240.36
Ratnagiri,2024,Zaid,Maize,61.0,2710.72,Unseasonal Rain,165.35
Kalyan-Dombivli,2023,Zaid,Rice,73.65,2746.3,Pest Attack,202.26
Aurangabad,2023,Rabi,Rice,85.93,874.08,Flood,75.11
Malegaon,2023,Kharif,Onion,21.83,2730.94,Soil Degradation,59.62
Mira-Bhayandar,2024,Kharif,Bajra,38.0,4961.88,Flood,188.55
Jalna,2022,Zaid,Maize,41.49,4925.11,Pest Attack,204.34
Bhandara,2023,Zaid,Rice,16.72,1249.91,Drought,20.9
Chandrapur,2021,Kharif,Rice,36.75,2371.04,Pest Attack,87.14
Sangli,2021,Rabi,Bajra,15.64,1387.8,Disease,21.71
Solapur,2021,Rabi,Maize,48.32,3401.75,Pest Attack,164.37
Jalna,2024,Zaid,Jowar,53.8,1939.84,Disease,104.36
Jalna,2022,Rabi,Sugarcane,57.25,2085.03,Disease,119.37
Nanded,2022,Kharif,Rice,85.09,2672.81,Soil Degradation,227.43
Wardha,2024,Zaid,Rice,91.22,3134.2,Heatwave,285.9
Gondia,2022,Kharif,Wheat,67.26,4023.64,Flood,270.63
Thane,2022,Kharif,Soybean,8.32,4709.05,Heatwave,39.18
Jalgaon,2022,Zaid,Bajra,7.19,4115.52,Heatwave,29.59
Wardha,2024,Kharif,Onion,32.59,1195.15,Unseasonal Rain,38.95
Panvel,2023,Zaid,Sugarcane,65.7,3269.89,Pest Attack,214.83
Latur,2024,Rabi,Bajra,6.87,4388.34,Disease,30.15
Pune,2024,Zaid,Rice,83.07,2545.25,Flood,211.43
Nanded,2024,Zaid,Cotton,20.33,4639.14,Unseasonal Rain,94.31
Aurangabad,2022,Zaid,Tur (Pigeon Pea),75.89,2351.83,Flood,178.48
Panvel,2022,Kharif,Maize,70.2,4259.87,Pest Attack,299.04
Yavatmal,2021,Rabi,Soybean,24.68,117.57,Pest Attack,2.9
Nagpur,2021,Zaid,Sugarcane,66.44,3482.19,Unseasonal Rain,231.36
Kalyan-Dombivli,2021,Zaid,Tur (Pigeon Pea),64.59,709.8,Pest Attack,45.85
Gondia,2022,Rabi,Jowar,11.54,2488.51,Soil Degradation,28.72
Mira-Bhayandar,2023,Kharif,Maize,93.89,3551.52,Drought,333.45
Bhiwandi,2021,Rabi,Maize,62.24,4048.29,Heatwave,251.97
Akola,2021,Rabi,Wheat,51.97,2436.03,Drought,126.6
Ulhasnagar,2021,Rabi,Tur (Pigeon Pea),52.67,2167.66,Drought,114.17
Vasai-Virar,2022,Kharif,Jowar,70.82,4483.32,Pest Attack,317.51
Pune,2024,Rabi,Bajra,75.69,3259.77,Drought,246.73
Nagpur,2021,Rabi,Maize,62.67,2649.38,Flood,166.04
Jalgaon,2021,Kharif,Sugarcane,28.7,2062.72,Flood,59.2
Jalna,2022,Zaid,Cotton,61.18,4337.53,Flood,265.37
Ratnagiri,2022,Rabi,Wheat,57.37,2005.79,Heatwave,115.07
Washim,2021,Zaid,Maize,35.15,479.03,Unseasonal Rain,16.84
Jalna,2024,Rabi,Bajra,81.5,2932.53,Drought,239.0
Yavatmal,2022,Kharif,Onion,16.61,358.16,Drought,5.95
Washim,2023,Kharif,Cotton,86.64,4850.63,Unseasonal Rain,420.26
Gondia,2022,Rabi,Sugarcane,55.77,518.4,Disease,28.91
Thane,2021,Rabi,Soybean,76.46,1191.16,Drought,91.08
Nagpur,2023,Kharif,Soybean,88.59,3804.11,Heatwave,337.01
Ambarnath,2023,Kharif,Jowar,26.44,3785.63,Unseasonal Rain,100.09
Pune,2021,Kharif,Maize,18.75,4282.75,Flood,80.3
Ahmednagar,2021,Kharif,Maize,89.64,3727.59,Drought,334.14
Latur,2024,Rabi,Sugarcane,81.25,1602.67,Disease,130.22
Jalgaon,2022,Zaid,Sugarcane,29.92,1400.53,Disease,41.9
Ulhasnagar,2023,Zaid,Maize,89.56,926.27,Soil Degradation,82.96
Ratnagiri,2024,Kharif,Soybean,41.93,1221.97,Flood,51.24
Jalna,2023,Zaid,Wheat,30.82,2082.55,Pest Attack,64.18
Aurangabad,2023,Rabi,Cotton,25.77,4521.87,Drought,116.53
Kolhapur,2021,Zaid,Wheat,85.71,507.75,Soil Degradation,43.52
Jalna,2022,Kharif,Maize,68.82,3936.5,Drought,270.91
Sindhudurg,2023,Zaid,Soybean,83.11,3581.37,Soil Degradation,297.65
Pune,2022,Kharif,Rice,62.77,1317.46,Pest Attack,82.7
Dhule,2021,Zaid,Onion,49.73,2541.94,Pest Attack,126.41
Bhiwandi,2021,Zaid,Sugarcane,71.37,2921.0,Unseasonal Rain,208.47
Sangli,2022,Rabi,Sugarcane,8.12,786.32,Soil Degradation,6.38
Akola,2024,Zaid,Wheat,39.77,1775.47,Pest Attack,70.61
Nanded,2021,Kharif,Maize,35.33,2810.48,Heatwave,99.29
Hingoli,2021,Kharif,Sugarcane,17.82,3059.09,Drought,54.51
Latur,2021,Rabi,Cotton,50.36,1506.27,Pest Attack,75.86
Vasai-Virar,2021,Zaid,Cotton,89.64,620.31,Pest Attack,55.6
Panvel,2024,Rabi,Sugarcane,66.37,1248.79,Soil Degradation,82.88
Mira-Bhayandar,2021,Rabi,Wheat,17.91,2576.79,Soil Degradation,46.15
Gondia,2023,Kharif,Wheat,77.2,4357.48,Soil Degradation,336.4
Latur,2021,Kharif,Soybean,36.81,4981.8,Heatwave,183.38
Washim,2023,Rabi,Maize,88.9,4942.56,Flood,439.39
Aurangabad,2022,Zaid,Sugarcane,81.0,4506.1,Pest Attack,364.99
Ambarnath,2022,Kharif,Rice,30.13,1630.79,Unseasonal Rain,49.14
Kalyan-Dombivli,2023,Rabi,Cotton,28.3,2147.04,Unseasonal Rain,60.76
Panvel,2021,Rabi,Onion,85.23,1992.72,Flood,169.84
Bhiwandi,2024,Zaid,Soybean,29.56,3554.93,Heatwave,105.08
Bhandara,2022,Rabi,Bajra,17.92,4490.3,Pest Attack,80.47
Jalna,2022,Rabi,Jowar,83.29,3854.16,Heatwave,321.01
Jalgaon,2022,Zaid,Onion,94.93,4219.0,Unseasonal Rain,400.51
Akola,2022,Kharif,Rice,85.16,239.37,Unseasonal Rain,20.38
Thane,2021,Kharif,Soybean,52.83,2624.2,Drought,138.64
Jalgaon,2022,Kharif,Onion,76.65,1976.58,Heatwave,151.5
Ulhasnagar,2022,Kharif,Tur (Pigeon Pea),32.38,4999.67,Drought,161.89
Kalyan-Dombivli,2021,Zaid,Rice,92.47,2748.36,Drought,254.14
Akola,2024,Rabi,Jowar,16.56,1314.42,Heatwave,21.77
Sindhudurg,2021,Zaid,Soybean,45.42,3071.44,Disease,139.5
Palghar,2021,Rabi,Wheat,38.97,1849.56,Pest Attack,72.08
Navi Mumbai,2021,Kharif,Rice,63.65,3208.12,Pest Attack,204.2
