id,name,description,impact_area,efficacy,cost,status,created_at
35,Policy Option 0034,A specialized intervention focused on canals.,Climate Resilience,0.37,High,completed,2025-08-17T06:19:59.168505
36,Policy Option 0035,A specialized intervention focused on relief.,Water Security,0.36,High,pending,2025-10-19T06:19:59.168505
37,Policy Option 0036,A specialized intervention focused on urban-resilience.,Economic Stability,0.45,Medium,completed,2025-05-18T06:19:59.168505
38,Policy Option 0037,A specialized intervention focused on relief.,Water Security,0.62,Medium,completed,2025-12-12T06:19:59.168505
39,Policy Option 0038,A specialized intervention focused on canals.,Water Security,0.69,Low,pending,2025-12-23T06:19:59.169503
40,Policy Option 0039,A specialized intervention focused on relief.,Water Security,0.79,Medium,completed,2025-02-19T06:19:59.169503
41,Policy Option 0040,A specialized intervention focused on desalination.,Climate Resilience,0.67,Medium,pending,2026-01-16T06:19:59.169503
42,Policy Option 0041,A specialized intervention focused on canals.,Economic Stability,0.35,High,active,2025-04-12T06:19:59.169503
43,Policy Option 0042,A specialized intervention focused on desalination.,Water Security,0.89,Critical,active,2025-06-23T06:19:59.169503
44,Policy Option 0043,A specialized intervention focused on insurance.,Economic Stability,0.84,Medium,active,2025-08-23T06:19:59.169503
45,Policy Option 0044,A specialized intervention focused on urban-resilience.,Climate Resilience,0.87,Critical,pending,2025-12-16T06:19:59.169503
46,Policy Option 0045,A specialized intervention focused on desalination.,Climate Resilience,0.76,Critical,active,2025-10-16T06:19:59.169503
47,Policy Option 0046,A specialized intervention focused on insurance.,Water Security,0.75,Low,active,2025-11-27T06:19:59.169503
48,Policy Option 0047,A specialized intervention focused on relief.,Migration Management,0.63,Low,pending,2025-05-16T06:19:59.169503
49,Policy Option 0048,A specialized intervention focused on relief.,Economic Stability,0.5,High,pending,2025-01-31T06:19:59.169503
