Record_ID,District,Year,Water_Risk_Score,Economic_Risk_Score,Infrastructure_Risk_Score,Composite_Risk_Score,Risk_Category,Primary_Risk_Factor
DR_10047,Kolhapur,2023,4.05,4.41,2.07,3.8,Medium,Inflation Impact
DR_10048,Sindhudurg,2024,5.54,5.66,7.62,6.0,High,Aging Infrastructure
DR_10049,Sindhudurg,2021,8.72,10,8.93,9.27,Critical,Inflation Impact
DR_10050,Solapur,2024,7.21,3.93,2.24,4.9,Medium,Groundwater Depletion
DR_10051,Amravati,2022,9.72,1.96,8.71,6.41,High,Groundwater Depletion
DR_10052,Gadchiroli,2020,6.1,3.53,9.4,5.73,High,Aging Infrastructure
DR_10053,Gadchiroli,2022,1.67,8.63,7.28,5.57,High,Inflation Impact
DR_10054,Wardha,2020,7.63,10,8.73,8.8,Critical,Inflation Impact
DR_10055,Ahmednagar,2020,9.55,10,8.84,9.59,Critical,Unemployment
DR_10056,Gadchiroli,2022,5.46,9.0,4.33,6.65,High,Unemployment
DR_10057,Akola,2024,4.25,4.06,2.96,3.91,Medium,Flood Risk
DR_10058,Amravati,2024,4.99,9.61,5.86,7.01,High,Inflation Impact
DR_10059,Pune,2021,5.01,9.46,5.03,6.8,High,Inflation Impact
DR_10060,Ahmednagar,2020,7.48,5.86,2.71,5.88,High,Flood Risk
DR_10061,Pune,2020,2.24,7.34,8.82,5.6,High,Aging Infrastructure
DR_10062,Hingoli,2022,1.49,4.39,5.79,3.51,Medium,Aging Infrastructure
DR_10063,Kolhapur,2024,5.98,3.81,1.64,4.25,Medium,Drought Susceptibility
DR_10064,Bhandara,2021,1.04,7.3,6.47,4.63,Medium,Industrial Decline
DR_10065,Bhandara,2021,5.0,6.25,5.38,5.58,High,Unemployment
DR_10066,Parbhani,2022,3.93,5.11,2.47,4.11,Medium,Inflation Impact
DR_10067,Solapur,2020,7.31,6.6,6.98,6.96,High,Flood Risk
DR_10068,Akola,2020,8.51,9.43,5.98,8.37,Critical,Industrial Decline
DR_10069,Parbhani,2021,4.68,2.14,6.17,3.96,Medium,Aging Infrastructure
DR_10070,Parbhani,2020,5.25,3.63,3.49,4.25,Medium,Flood Risk
DR_10071,Ratnagiri,2021,3.67,8.07,9.97,6.69,High,Aging Infrastructure
DR_10072,Mumbai Suburban,2023,2.4,1.36,2.14,1.93,Low,Drought Susceptibility
DR_10073,Nanded,2023,3.45,6.28,5.32,4.96,Medium,Unemployment
DR_10074,Osmanabad,2020,5.63,6.87,3.82,5.76,High,Unemployment
DR_10075,Chandrapur,2024,3.95,7.0,3.84,5.15,High,Industrial Decline
DR_10076,Wardha,2020,2.76,9.88,1.88,5.43,High,Industrial Decline
DR_10077,Gadchiroli,2021,3.1,3.44,8.28,4.27,Medium,Aging Infrastructure
DR_10078,Pune,2021,7.6,6.49,5.98,6.83,High,Flood Risk
DR_10079,Sangli,2021,8.92,9.13,6.71,8.56,Critical,Inflation Impact
DR_10080,Buldhana,2024,7.54,10,3.28,7.67,Critical,Unemployment
DR_10081,Satara,2020,6.68,6.49,8.03,6.88,High,Aging Infrastructure
DR_10082,Gondia,2022,6.78,4.76,6.95,6.01,High,Aging Infrastructure
DR_10083,Mumbai City,2021,3.04,9.05,9.99,6.83,High,Aging Infrastructure
DR_10084,Kolhapur,2024,1.4,6.95,1.75,3.69,Medium,Industrial Decline
DR_10085,Dhule,2020,5.44,6.71,8.69,6.6,High,Aging Infrastructure
DR_10086,Kolhapur,2024,8.03,3.93,6.95,6.17,High,Groundwater Depletion
DR_10087,Pune,2021,8.34,8.13,3.85,7.36,High,Drought Susceptibility
DR_10088,Dhule,2020,4.86,2.1,2.07,3.2,Medium,Drought Susceptibility
DR_10089,Osmanabad,2023,9.04,3.52,5.28,6.08,High,Groundwater Depletion
DR_10090,Washim,2020,9.72,8.3,8.91,8.99,Critical,Groundwater Depletion
DR_10091,Gadchiroli,2020,3.62,3.4,2.0,3.21,Medium,Groundwater Depletion
DR_10092,Mumbai Suburban,2020,6.69,3.67,1.82,4.51,Medium,Drought Susceptibility
DR_10093,Thane,2021,5.98,5.11,5.07,5.45,High,Groundwater Depletion
DR_10094,Amravati,2020,4.21,8.47,9.54,6.98,High,Aging Infrastructure
DR_10095,Mumbai Suburban,2021,3.0,3.89,3.14,3.38,Medium,Unemployment
DR_10096,Palghar,2020,8.5,8.2,7.34,8.15,Critical,Groundwater Depletion
DR_10097,Amravati,2024,7.48,5.51,3.95,5.99,High,Drought Susceptibility
DR_10098,Dhule,2022,5.9,4.47,5.83,5.31,High,Drought Susceptibility
DR_10099,Aurangabad,2021,3.05,1.81,7.98,3.54,Medium,Aging Infrastructure
DR_10100,Sindhudurg,2021,9.12,7.36,2.86,7.16,High,Flood Risk
DR_10101,Osmanabad,2020,6.35,7.07,1.17,5.6,High,Industrial Decline
DR_10102,Jalna,2024,7.72,10,8.69,8.82,Critical,Unemployment
DR_10103,Nagpur,2021,1.98,5.67,8.39,4.74,Medium,Aging Infrastructure
DR_10104,Palghar,2020,4.89,2.42,1.63,3.25,Medium,Drought Susceptibility
DR_10105,Dhule,2023,4.07,9.82,7.25,7.01,High,Industrial Decline
DR_10106,Satara,2022,1.18,9.92,1.25,4.69,Medium,Industrial Decline
DR_10107,Beed,2024,7.99,5.64,6.48,6.75,High,Flood Risk
DR_10108,Thane,2024,6.53,9.6,9.8,8.41,Critical,Aging Infrastructure
DR_10109,Hingoli,2023,9.15,10,8.89,9.44,Critical,Industrial Decline
DR_10110,Beed,2022,5.64,9.08,7.4,7.37,High,Unemployment
DR_10111,Amravati,2023,2.66,4.83,8.06,4.61,Medium,Aging Infrastructure
DR_10112,Osmanabad,2021,5.57,7.79,2.54,5.85,High,Inflation Impact
DR_10113,Mumbai City,2020,4.37,5.18,4.2,4.66,Medium,Industrial Decline
DR_10114,Nagpur,2024,2.4,2.93,1.6,2.45,Low,Unemployment
DR_10115,Washim,2021,5.14,1.24,9.9,4.53,Medium,Aging Infrastructure
DR_10116,Beed,2020,2.14,6.45,6.56,4.75,Medium,Aging Infrastructure
DR_10117,Osmanabad,2024,2.54,2.09,8.16,3.48,Medium,Aging Infrastructure
DR_10118,Mumbai Suburban,2022,7.43,10,5.71,8.11,Critical,Unemployment
DR_10119,Raigad,2024,3.99,9.1,1.3,5.5,High,Unemployment
DR_10120,Jalna,2023,1.87,4.9,1.87,3.08,Medium,Unemployment
DR_10121,Ratnagiri,2023,6.74,4.96,8.87,6.45,High,Aging Infrastructure
DR_10122,Gadchiroli,2024,5.48,5.02,5.57,5.31,High,Aging Infrastructure
DR_10123,Pune,2023,6.14,6.26,6.97,6.36,High,Aging Infrastructure
DR_10124,Yavatmal,2020,1.55,2.23,1.27,1.76,Low,Industrial Decline
DR_10125,Wardha,2023,4.77,8.57,5.71,6.48,High,Unemployment
DR_10126,Palghar,2020,1.29,4.75,7.74,3.96,Medium,Aging Infrastructure
DR_10127,Osmanabad,2024,4.1,4.6,7.13,4.91,Medium,Aging Infrastructure
DR_10128,Nagpur,2021,3.44,7.84,1.31,4.78,Medium,Industrial Decline
DR_10129,Raigad,2024,2.48,2.42,5.55,3.07,Medium,Aging Infrastructure
DR_10130,Sindhudurg,2021,2.37,7.02,2.93,4.34,Medium,Unemployment
DR_10131,Nashik,2022,9.77,3.71,5.07,6.4,High,Drought Susceptibility
DR_10132,Aurangabad,2024,9.15,3.75,7.81,6.72,High,Flood Risk
DR_10133,Satara,2023,3.47,1.39,4.53,2.85,Medium,Aging Infrastructure
DR_10134,Beed,2021,3.48,4.78,9.58,5.22,High,Aging Infrastructure
DR_10135,Latur,2022,7.0,3.2,6.82,5.45,High,Drought Susceptibility
DR_10136,Bhandara,2022,7.73,9.1,5.71,7.87,Critical,Inflation Impact
DR_10137,Pune,2021,5.31,7.39,1.49,5.38,High,Inflation Impact
DR_10138,Amravati,2020,1.93,4.72,9.2,4.5,Medium,Aging Infrastructure
DR_10139,Akola,2023,1.77,2.73,1.06,2.01,Low,Inflation Impact
DR_10140,Parbhani,2023,1.81,4.68,3.73,3.34,Medium,Unemployment
DR_10141,Palghar,2024,6.4,9.19,4.45,7.12,High,Industrial Decline
DR_10142,Satara,2024,3.68,9.17,1.17,5.37,High,Inflation Impact
DR_10143,Chandrapur,2024,4.22,9.95,1.51,5.97,High,Inflation Impact
DR_10144,Thane,2023,2.13,2.88,4.23,2.85,Medium,Aging Infrastructure
DR_10145,Jalgaon,2021,4.01,3.52,1.94,3.4,Medium,Drought Susceptibility
DR_10146,Jalna,2021,9.48,8.6,3.55,7.94,Critical,Flood Risk
DR_10147,Chandrapur,2024,5.19,6.43,8.19,6.29,High,Aging Infrastructure
DR_10148,Beed,2023,3.22,1.25,6.16,3.02,Medium,Aging Infrastructure
DR_10149,Washim,2024,2.7,7.85,6.51,5.52,High,Unemployment
DR_10150,Hingoli,2024,8.84,8.97,9.92,9.11,Critical,Aging Infrastructure
DR_10151,Nandurbar,2020,3.21,1.39,8.66,3.57,Medium,Aging Infrastructure
DR_10152,Osmanabad,2024,7.71,10,8.23,8.73,Critical,Industrial Decline
DR_10153,Palghar,2021,4.48,9.09,8.99,7.23,High,Industrial Decline
DR_10154,Chandrapur,2020,3.78,5.18,1.43,3.87,Medium,Inflation Impact
DR_10155,Raigad,2022,8.66,8.47,5.5,7.95,Critical,Drought Susceptibility
DR_10156,Yavatmal,2020,9.8,9.38,2.39,8.15,Critical,Groundwater Depletion
DR_10157,Ahmednagar,2024,9.94,3.28,6.69,6.62,High,Drought Susceptibility
DR_10158,Gadchiroli,2020,1.27,4.98,4.92,3.48,Medium,Unemployment
DR_10159,Chandrapur,2022,3.17,1.21,9.27,3.61,Medium,Aging Infrastructure
DR_10160,Pune,2020,6.45,5.95,7.15,6.39,High,Aging Infrastructure
DR_10161,Sangli,2020,3.09,1.96,3.59,2.74,Medium,Aging Infrastructure
DR_10162,Hingoli,2021,4.54,5.99,2.22,4.65,Medium,Inflation Impact
DR_10163,Raigad,2023,1.47,8.97,6.93,5.56,High,Inflation Impact
DR_10164,Raigad,2023,6.15,3.09,8.19,5.33,High,Aging Infrastructure
DR_10165,Palghar,2024,8.83,8.68,2.44,7.49,High,Drought Susceptibility
DR_10166,Raigad,2020,4.11,5.15,2.49,4.2,Medium,Inflation Impact
DR_10167,Pune,2021,5.02,5.31,3.0,4.73,Medium,Unemployment
DR_10168,Osmanabad,2024,8.03,9.69,9.06,8.9,Critical,Industrial Decline
DR_10169,Chandrapur,2020,6.54,8.27,4.24,6.77,High,Industrial Decline
DR_10170,Sindhudurg,2023,3.4,8.67,1.35,5.1,High,Industrial Decline
DR_10171,Nashik,2020,8.74,10,8.8,9.26,Critical,Industrial Decline
DR_10172,Raigad,2021,4.43,2.83,4.36,3.78,Medium,Drought Susceptibility
DR_10173,Bhandara,2024,9.08,9.95,3.79,8.37,Critical,Industrial Decline
DR_10174,Akola,2022,7.5,9.44,6.24,8.03,Critical,Industrial Decline
DR_10175,Osmanabad,2024,3.44,8.33,7.19,6.15,High,Unemployment
DR_10176,Yavatmal,2020,1.02,3.63,9.95,3.85,Medium,Aging Infrastructure
DR_10177,Aurangabad,2022,8.2,5.4,3.49,6.13,High,Groundwater Depletion
DR_10178,Dhule,2024,2.22,1.79,2.06,2.02,Low,Groundwater Depletion
DR_10179,Osmanabad,2024,7.05,3.28,9.04,5.94,High,Aging Infrastructure
DR_10180,Palghar,2020,5.46,7.62,2.86,5.8,High,Inflation Impact
DR_10181,Hingoli,2022,3.08,5.23,5.95,4.51,Medium,Aging Infrastructure
DR_10182,Bhandara,2023,6.08,9.09,8.71,7.81,Critical,Unemployment
DR_10183,Sindhudurg,2020,2.32,2.2,5.52,2.91,Medium,Aging Infrastructure
DR_10184,Buldhana,2022,2.42,6.98,5.94,4.95,Medium,Unemployment
DR_10185,Sangli,2024,9.28,9.18,7.3,8.84,Critical,Flood Risk
DR_10186,Ratnagiri,2024,2.4,6.56,7.83,5.15,High,Aging Infrastructure
DR_10187,Mumbai City,2024,7.78,10,8.71,8.85,Critical,Unemployment
DR_10188,Yavatmal,2024,3.51,6.32,9.1,5.75,High,Aging Infrastructure
DR_10189,Ratnagiri,2022,5.74,5.56,5.23,5.57,High,Drought Susceptibility
DR_10190,Hingoli,2024,6.59,7.08,1.83,5.83,High,Unemployment
DR_10191,Parbhani,2020,7.89,4.85,9.73,7.04,High,Aging Infrastructure
DR_10192,Latur,2021,1.47,3.08,5.2,2.86,Medium,Aging Infrastructure
DR_10193,Aurangabad,2023,5.84,4.67,1.96,4.6,Medium,Flood Risk
DR_10194,Parbhani,2021,9.6,9.85,3.99,8.58,Critical,Inflation Impact
DR_10195,Beed,2023,3.44,6.39,8.09,5.55,High,Aging Infrastructure
DR_10196,Beed,2021,6.49,7.17,4.5,6.37,High,Unemployment
DR_10197,Jalgaon,2020,5.11,6.32,4.59,5.49,High,Industrial Decline
DR_10198,Latur,2021,3.83,7.14,3.01,4.99,Medium,Unemployment
DR_10199,Pune,2021,4.4,9.33,7.04,6.9,High,Unemployment
DR_10200,Osmanabad,2020,7.67,8.85,1.88,6.98,High,Industrial Decline
DR_10201,Gadchiroli,2022,3.14,3.3,5.15,3.61,Medium,Aging Infrastructure
DR_10202,Parbhani,2022,2.19,2.03,9.47,3.58,Medium,Aging Infrastructure
DR_10203,Nanded,2022,2.32,6.1,2.86,3.94,Medium,Industrial Decline
DR_10204,Dhule,2021,8.25,5.52,8.3,7.17,High,Aging Infrastructure
DR_10205,Washim,2020,7.32,4.36,7.46,6.17,High,Aging Infrastructure
DR_10206,Wardha,2021,6.09,8.82,7.41,7.45,High,Unemployment
DR_10207,Satara,2022,8.24,10,8.48,8.99,Critical,Unemployment
DR_10208,Yavatmal,2024,8.94,10,3.48,8.27,Critical,Industrial Decline
DR_10209,Sangli,2022,7.96,8.95,7.93,8.35,Critical,Industrial Decline
DR_10210,Gondia,2023,5.83,9.48,1.59,6.44,High,Industrial Decline
DR_10211,Raigad,2023,6.44,7.36,6.37,6.79,High,Industrial Decline
DR_10212,Pune,2021,7.75,5.86,1.19,5.68,High,Flood Risk
DR_10213,Sangli,2023,1.69,4.24,8.26,4.02,Medium,Aging Infrastructure
DR_10214,Nashik,2020,6.57,3.77,6.97,5.53,High,Aging Infrastructure
DR_10215,Nandurbar,2020,6.92,9.17,1.6,6.75,High,Unemployment
DR_10216,Latur,2022,4.98,3.71,8.81,5.23,High,Aging Infrastructure
DR_10217,Satara,2021,5.11,5.7,1.56,4.63,Medium,Industrial Decline
DR_10218,Buldhana,2020,1.42,1.88,6.83,2.69,Medium,Aging Infrastructure
DR_10219,Akola,2023,4.04,3.88,1.64,3.49,Medium,Drought Susceptibility
DR_10220,Dhule,2024,5.91,6.79,8.34,6.75,High,Aging Infrastructure
DR_10221,Jalna,2022,8.27,6.05,6.07,6.94,High,Flood Risk
DR_10222,Satara,2021,8.04,3.48,2.31,5.07,High,Groundwater Depletion
DR_10223,Chandrapur,2023,8.83,6.09,5.75,7.11,High,Groundwater Depletion
DR_10224,Palghar,2024,6.59,9.26,2.77,6.89,High,Industrial Decline
DR_10225,Bhandara,2024,5.63,3.85,5.48,4.89,Medium,Flood Risk
DR_10226,Parbhani,2020,2.56,2.58,7.39,3.53,Medium,Aging Infrastructure
DR_10227,Aurangabad,2022,5.85,9.48,6.66,7.46,High,Unemployment
DR_10228,Solapur,2023,7.53,9.66,5.24,7.92,Critical,Industrial Decline
DR_10229,Pune,2020,4.14,1.52,2.22,2.71,Medium,Flood Risk
DR_10230,Wardha,2020,1.39,2.96,6.57,3.05,Medium,Aging Infrastructure
DR_10231,Nagpur,2021,7.63,5.02,9.43,6.95,High,Aging Infrastructure
DR_10232,Chandrapur,2024,7.85,9.09,9.47,8.67,Critical,Aging Infrastructure
DR_10233,Palghar,2023,4.33,6.1,1.11,4.39,Medium,Industrial Decline
DR_10234,Chandrapur,2021,2.85,1.59,4.05,2.59,Medium,Aging Infrastructure
DR_10235,Jalgaon,2023,7.25,4.37,9.6,6.57,High,Aging Infrastructure
DR_10236,Gadchiroli,2023,4.57,5.75,8.16,5.76,High,Aging Infrastructure
DR_10237,Ratnagiri,2024,6.32,8.8,5.1,7.07,High,Unemployment
DR_10238,Satara,2021,8.96,1.26,2.4,4.57,Medium,Groundwater Depletion
DR_10239,Jalgaon,2022,4.57,7.85,4.36,5.84,High,Industrial Decline
DR_10240,Gondia,2021,3.13,7.77,3.69,5.09,High,Inflation Impact
DR_10241,Buldhana,2024,3.39,1.01,8.81,3.52,Medium,Aging Infrastructure
DR_10242,Ratnagiri,2023,6.57,9.34,9.64,8.29,Critical,Aging Infrastructure
DR_10243,Washim,2020,6.83,8.02,1.32,6.2,High,Industrial Decline
DR_10244,Yavatmal,2020,7.8,6.53,9.29,7.59,Critical,Aging Infrastructure
DR_10245,Bhandara,2022,9.43,10,4.78,8.73,Critical,Unemployment
DR_10246,Latur,2020,7.22,7.97,3.38,6.75,High,Unemployment
DR_10247,Parbhani,2021,9.96,9.44,1.87,8.14,Critical,Groundwater Depletion
DR_10248,Jalgaon,2024,2.97,2.57,9.75,4.17,Medium,Aging Infrastructure
DR_10249,Amravati,2023,4.28,2.09,9.62,4.47,Medium,Aging Infrastructure
DR_10250,Mumbai Suburban,2020,2.1,7.82,4.29,4.83,Medium,Industrial Decline
DR_10251,Bhandara,2020,7.9,4.59,6.72,6.34,High,Flood Risk
DR_10252,Kolhapur,2020,9.58,8.14,1.11,7.31,High,Flood Risk
DR_10253,Raigad,2024,7.2,7.51,2.92,6.47,High,Industrial Decline
DR_10254,Akola,2023,2.92,4.37,4.43,3.8,Medium,Aging Infrastructure
DR_10255,Nashik,2022,1.14,4.27,8.75,3.91,Medium,Aging Infrastructure
DR_10256,Aurangabad,2020,5.27,8.78,3.36,6.29,High,Unemployment
DR_10257,Thane,2021,2.1,5.47,3.03,3.63,Medium,Unemployment
DR_10258,Buldhana,2021,7.17,3.96,2.18,4.89,Medium,Flood Risk
DR_10259,Solapur,2020,6.56,8.15,3.99,6.68,High,Industrial Decline
DR_10260,Thane,2023,1.47,1.43,6.61,2.48,Low,Aging Infrastructure
DR_10261,Mumbai City,2022,8.0,3.69,1.2,4.92,Medium,Drought Susceptibility
DR_10262,Chandrapur,2020,6.68,5.39,1.11,5.05,High,Flood Risk
DR_10263,Beed,2022,5.5,9.55,7.43,7.51,Critical,Industrial Decline
DR_10264,Beed,2022,6.8,5.95,2.1,5.52,High,Drought Susceptibility
DR_10265,Aurangabad,2023,3.65,9.6,8.17,6.93,High,Unemployment
DR_10266,Beed,2023,8.4,5.03,2.21,5.81,High,Flood Risk
DR_10267,Sangli,2021,2.59,5.59,5.52,4.37,Medium,Inflation Impact
DR_10268,Aurangabad,2022,9.18,6.79,1.39,6.67,High,Drought Susceptibility
DR_10269,Washim,2020,1.49,8.37,8.37,5.62,High,Unemployment
DR_10270,Kolhapur,2020,5.17,6.41,8.98,6.43,High,Aging Infrastructure
DR_10271,Bhandara,2021,4.8,6.7,6.38,5.88,High,Inflation Impact
DR_10272,Aurangabad,2021,9.37,4.93,7.68,7.26,High,Flood Risk
DR_10273,Nandurbar,2023,8.61,4.45,7.84,6.79,High,Flood Risk
DR_10274,Mumbai City,2024,9.78,4.65,7.62,7.29,High,Flood Risk
DR_10275,Nanded,2022,1.07,1.91,7.11,2.62,Medium,Aging Infrastructure
DR_10276,Kolhapur,2021,5.69,4.39,9.82,6.0,High,Aging Infrastructure
DR_10277,Gadchiroli,2021,6.03,6.76,5.17,6.15,High,Industrial Decline
DR_10278,Pune,2021,7.63,3.78,9.72,6.51,High,Aging Infrastructure
DR_10279,Buldhana,2021,3.93,5.71,5.99,5.05,High,Aging Infrastructure
DR_10280,Dhule,2021,4.43,3.83,2.35,3.77,Medium,Flood Risk
DR_10281,Thane,2022,6.29,8.99,6.42,7.4,High,Unemployment
DR_10282,Mumbai City,2020,5.58,9.66,2.43,6.58,High,Inflation Impact
DR_10283,Gadchiroli,2021,5.13,8.43,5.63,6.55,High,Industrial Decline
DR_10284,Osmanabad,2020,8.12,9.64,1.53,7.41,High,Industrial Decline
DR_10285,Gadchiroli,2023,1.65,4.83,1.51,2.89,Medium,Inflation Impact
DR_10286,Satara,2023,4.3,3.5,2.28,3.57,Medium,Flood Risk
DR_10287,Thane,2023,6.43,1.71,3.13,3.88,Medium,Groundwater Depletion
DR_10288,Raigad,2020,1.31,7.24,2.17,3.85,Medium,Industrial Decline
DR_10289,Nandurbar,2022,5.47,2.17,9.31,4.92,Medium,Aging Infrastructure
DR_10290,Parbhani,2021,3.88,7.83,7.05,6.09,High,Unemployment
DR_10291,Sangli,2020,6.57,7.21,5.02,6.52,High,Industrial Decline
DR_10292,Gondia,2023,3.12,9.17,2.11,5.34,High,Inflation Impact
DR_10293,Akola,2024,6.75,2.15,9.27,5.41,High,Aging Infrastructure
DR_10294,Washim,2020,8.97,6.16,2.08,6.47,High,Groundwater Depletion
DR_10295,Satara,2021,6.51,2.6,1.02,3.85,Medium,Flood Risk
DR_10296,Amravati,2023,5.56,8.0,7.7,6.97,High,Inflation Impact
DR_10297,Buldhana,2021,8.06,10,3.4,7.9,Critical,Industrial Decline
DR_10298,Kolhapur,2024,2.17,3.87,2.6,2.93,Medium,Inflation Impact
DR_10299,Jalna,2023,8.45,5.16,5.91,6.63,High,Flood Risk
DR_10300,Jalna,2024,9.16,9.11,4.25,8.16,Critical,Flood Risk
DR_10301,Mumbai Suburban,2022,7.05,2.0,2.38,4.1,Medium,Drought Susceptibility
DR_10302,Beed,2021,3.83,2.64,7.52,4.09,Medium,Aging Infrastructure
DR_10303,Nagpur,2024,3.29,2.15,5.19,3.21,Medium,Aging Infrastructure
DR_10304,Sindhudurg,2022,9.77,5.94,1.15,6.51,High,Drought Susceptibility
DR_10305,Dhule,2020,9.13,6.95,3.16,7.06,High,Groundwater Depletion
DR_10306,Thane,2023,1.54,9.31,7.16,5.77,High,Inflation Impact
DR_10307,Bhandara,2023,7.93,2.87,4.86,5.29,High,Flood Risk
DR_10308,Akola,2023,9.91,7.28,9.35,8.75,Critical,Flood Risk
DR_10309,Wardha,2023,5.74,6.91,6.56,6.37,High,Industrial Decline
DR_10310,Gondia,2021,7.78,6.52,3.66,6.45,High,Flood Risk
DR_10311,Ratnagiri,2021,4.31,2.81,5.11,3.87,Medium,Aging Infrastructure
DR_10312,Jalgaon,2021,8.5,10,1.33,7.67,Critical,Inflation Impact
DR_10313,Jalna,2024,3.6,8.87,9.63,6.92,High,Aging Infrastructure
DR_10314,Thane,2020,4.09,9.04,2.66,5.79,High,Inflation Impact
DR_10315,Bhandara,2022,9.21,7.04,7.61,8.02,Critical,Groundwater Depletion
DR_10316,Beed,2020,2.08,5.31,9.11,4.78,Medium,Aging Infrastructure
DR_10317,Mumbai City,2021,3.04,6.72,7.87,5.48,High,Aging Infrastructure
DR_10318,Sangli,2021,2.37,4.67,9.86,4.79,Medium,Aging Infrastructure
DR_10319,Palghar,2022,9.04,4.23,3.06,5.92,High,Drought Susceptibility
DR_10320,Solapur,2020,7.81,7.01,8.17,7.56,Critical,Aging Infrastructure
DR_10321,Aurangabad,2022,3.94,6.46,5.63,5.28,High,Industrial Decline
DR_10322,Aurangabad,2022,7.36,8.32,7.69,7.81,Critical,Industrial Decline
DR_10323,Sangli,2024,9.3,2.93,5.23,5.94,High,Drought Susceptibility
DR_10324,Ahmednagar,2022,7.91,7.16,2.32,6.49,High,Flood Risk
DR_10325,Amravati,2024,6.29,4.28,8.31,5.89,High,Aging Infrastructure
DR_10326,Bhandara,2022,6.88,7.44,1.71,6.07,High,Inflation Impact
DR_10327,Parbhani,2024,3.38,5.03,9.42,5.25,High,Aging Infrastructure
