City,Date,Water_Stress_Index,Availability_Liters_Per_Capita,Demand_Liters_Per_Capita,Groundwater_Level_Meters,Risk_Category
Jalgaon,2023-09-10,4.43,63,143,22.4,Medium
Sindhudurg,2025-09-28,4.62,71,117,49.0,Medium
Jalna,2024-08-29,1.55,96,144,20.0,Low
Beed,2024-12-20,2.2,116,169,39.2,Low
Dhule,2023-07-12,5.56,74,120,50.7,High
Pune,2025-10-02,2.48,51,167,21.1,Low
Ratnagiri,2024-12-28,2.55,69,136,38.1,Medium
Nandurbar,2025-09-29,4.54,122,188,38.0,Medium
Nandurbar,2024-08-07,6.97,18,148,37.6,High
Hingoli,2025-08-09,7.78,91,154,63.4,High
Ratnagiri,2024-03-04,2.49,129,118,55.6,Low
Satara,2024-10-13,2.33,124,165,35.5,Low
Parbhani,2024-04-30,6.7,18,143,34.4,High
Ulhasnagar,2025-07-12,5.38,65,131,62.5,High
Navi Mumbai,2025-08-30,6.11,53,165,39.6,High
Kalyan-Dombivli,2025-04-22,1.91,106,183,40.3,Low
Thane,2023-04-24,5.75,90,180,59.6,High
Gondia,2025-06-29,3.97,129,148,40.8,Medium
Palghar,2024-02-04,9.19,52,124,41.1,Extremely High
Akola,2023-11-07,9.79,84,174,76.4,Extremely High
Ichalkaranji,2025-06-18,3.58,105,134,47.1,Medium
Parbhani,2023-12-20,4.76,123,124,35.9,Medium
Ichalkaranji,2025-02-14,9.67,78,153,57.9,Extremely High
Palghar,2025-12-28,4.68,28,185,60.0,Medium
Ichalkaranji,2023-10-06,1.34,44,150,12.0,Low
Washim,2023-01-16,6.6,33,158,37.7,High
Panvel,2023-01-10,2.22,78,137,50.9,Low
Palghar,2023-04-23,7.12,23,155,67.3,High
Sindhudurg,2023-03-20,8.43,57,180,58.4,Extremely High
Beed,2025-06-16,9.79,5,193,71.3,Extremely High
Yavatmal,2025-05-17,1.4,123,109,41.8,Low
Kalyan-Dombivli,2023-07-16,4.75,84,135,41.4,Medium
Sangli,2024-02-29,4.69,26,184,42.1,Medium
Aurangabad,2024-02-11,5.94,69,142,51.3,High
Mira-Bhayandar,2024-05-28,2.51,51,171,22.0,Medium
Nandurbar,2024-09-16,8.81,10,171,64.4,Extremely High
Ratnagiri,2025-04-13,6.18,44,165,30.4,High
Chandrapur,2023-10-22,8.96,21,143,70.9,Extremely High
Ichalkaranji,2023-04-15,5.76,72,134,30.7,High
Satara,2024-07-17,1.85,120,161,34.2,Low
Akola,2023-05-07,5.89,93,132,40.8,High
Gondia,2023-05-07,6.84,56,119,52.5,High
Kolhapur,2025-03-25,3.11,47,174,55.8,Medium
Nandurbar,2023-02-09,4.52,60,174,31.2,Medium
Sangli,2025-06-01,8.07,33,176,55.1,Extremely High
Amravati,2024-12-30,7.68,24,190,40.0,High
Thane,2025-11-04,7.77,78,145,41.9,High
Nagpur,2024-02-13,5.01,111,165,22.1,High
Jalgaon,2024-08-24,2.92,103,176,36.6,Medium
Panvel,2025-06-16,3.19,81,163,52.9,Medium
Mira-Bhayandar,2025-06-01,5.54,46,172,44.9,High
Nagpur,2024-11-04,1.88,68,115,53.7,Low
Navi Mumbai,2024-08-07,8.14,25,122,51.1,Extremely High
Parbhani,2024-02-24,7.62,103,190,72.1,High
Ichalkaranji,2024-08-16,4.93,110,167,24.1,Medium
Navi Mumbai,2025-04-24,3.98,52,135,61.3,Medium
Bhusawal,2024-01-28,4.68,34,160,38.2,Medium
Solapur,2024-09-13,5.62,29,171,50.2,High
Nagpur,2023-12-06,6.94,105,125,50.1,High
Ahmednagar,2024-07-26,1.97,45,115,42.9,Low
Vasai-Virar,2025-12-02,1.01,140,152,15.9,Low
Kalyan-Dombivli,2025-01-14,8.25,32,170,66.8,Extremely High
Kalyan-Dombivli,2025-09-08,1.57,75,134,54.5,Low
Amravati,2024-06-29,1.21,75,178,43.9,Low
Amravati,2023-09-26,9.05,59,128,48.3,Extremely High
Ahmednagar,2025-09-07,2.8,118,158,46.4,Medium
Bhiwandi,2023-03-29,7.85,24,120,64.5,High
Jalna,2023-06-10,7.03,65,115,48.4,High
Amravati,2024-12-28,1.16,86,129,35.1,Low
Ulhasnagar,2025-12-05,2.09,70,148,16.2,Low
Mumbai,2023-12-15,4.74,104,126,48.6,Medium
Washim,2025-06-03,8.81,89,140,47.5,Extremely High
Washim,2023-03-25,2.17,80,167,37.1,Low
Akola,2025-04-11,9.73,91,134,35.2,Extremely High
Navi Mumbai,2023-12-15,8.85,63,145,55.2,Extremely High
Ambarnath,2024-04-11,8.81,101,134,63.3,Extremely High
Bhusawal,2023-07-08,5.31,105,149,42.7,High
Ambarnath,2025-09-25,8.04,94,153,44.7,Extremely High
Kalyan-Dombivli,2023-05-21,8.73,69,183,69.4,Extremely High
Latur,2024-07-25,1.81,130,178,20.4,Low
Jalna,2023-04-29,4.76,27,139,24.3,Medium
Latur,2025-04-10,2.87,37,158,40.6,Medium
Mumbai,2025-08-30,7.8,27,177,60.5,High
Satara,2024-07-29,3.83,32,172,20.0,Medium
Aurangabad,2025-04-11,4.34,67,152,22.2,Medium
Thane,2023-08-21,9.64,17,145,68.8,Extremely High
Bhiwandi,2025-08-01,6.72,108,163,67.0,High
Washim,2025-07-11,5.08,47,166,49.2,High
Jalgaon,2023-08-23,7.57,55,148,58.9,High
Amravati,2024-02-02,1.32,48,115,50.5,Low
Bhusawal,2025-08-15,4.49,110,109,38.1,Medium
Chandrapur,2023-07-01,6.48,72,113,45.7,High
Ratnagiri,2025-05-09,1.9,88,120,52.1,Low
Sangli,2024-10-15,5.09,41,168,21.4,High
Bhusawal,2024-11-10,7.1,78,161,39.5,High
Thane,2023-07-08,5.29,106,145,27.7,High
Jalgaon,2024-07-29,2.17,42,117,25.8,Low
Ulhasnagar,2024-06-04,6.3,25,141,32.8,High
Kalyan-Dombivli,2023-09-13,7.31,109,181,59.2,High
Ambarnath,2024-10-04,4.57,29,156,23.7,Medium
Nashik,2025-08-28,1.53,58,143,44.9,Low
Satara,2023-11-22,6.57,49,137,46.5,High
Aurangabad,2023-02-12,8.21,18,189,72.2,Extremely High
Sindhudurg,2025-11-16,1.8,113,147,17.9,Low
Navi Mumbai,2023-07-07,4.92,124,154,59.0,Medium
Solapur,2023-02-09,3.1,128,123,51.8,Medium
Akola,2023-03-13,3.88,57,118,24.1,Medium
Nashik,2023-06-17,3.22,65,176,21.1,Medium
Navi Mumbai,2023-08-16,9.65,90,177,71.8,Extremely High
Nandurbar,2023-04-20,5.93,34,175,39.2,High
Nandurbar,2025-12-12,6.28,82,169,34.2,High
Pune,2024-09-02,2.31,87,167,44.6,Low
Nanded,2023-10-07,8.55,95,190,40.5,Extremely High
Sangli,2025-02-16,1.73,86,144,24.1,Low
Panvel,2025-08-05,2.59,60,171,21.1,Medium
Mumbai,2024-07-14,5.68,111,169,43.3,High
Ahmednagar,2024-12-25,1.61,126,108,49.5,Low
Amravati,2023-09-23,3.95,78,142,53.7,Medium
Thane,2023-07-17,4.73,118,154,48.0,Medium
Sangli,2023-08-15,1.82,64,131,49.3,Low
Parbhani,2025-05-04,3.66,76,159,29.5,Medium
Bhusawal,2025-09-03,1.19,130,112,28.2,Low
Jalna,2025-08-06,7.7,34,168,72.6,High
Ulhasnagar,2024-08-05,4.45,74,126,59.5,Medium
Parbhani,2025-05-22,4.06,34,185,32.8,Medium
Kolhapur,2025-07-01,3.61,128,167,56.6,Medium
Aurangabad,2024-10-20,8.27,79,126,65.2,Extremely High
Jalna,2024-07-12,8.75,99,147,37.0,Extremely High
Yavatmal,2025-07-25,8.04,83,175,41.4,Extremely High
Panvel,2023-12-10,9.24,14,182,76.3,Extremely High
Dhule,2023-01-03,1.22,99,111,24.5,Low
Kolhapur,2023-01-13,6.91,50,129,51.3,High
Navi Mumbai,2023-02-05,2.28,84,115,37.4,Low
Ulhasnagar,2023-05-25,8.93,68,182,71.2,Extremely High
Amravati,2024-07-02,5.44,96,175,65.1,High
Akola,2024-09-16,9.59,88,124,41.0,Extremely High
Jalgaon,2025-10-24,8.96,47,129,61.7,Extremely High
Aurangabad,2024-08-19,7.93,16,177,59.7,High
Amravati,2023-06-24,9.8,74,191,54.7,Extremely High
Satara,2025-06-18,6.24,35,129,48.9,High
Chandrapur,2025-04-24,3.81,80,114,45.7,Medium
Wardha,2025-01-21,3.16,72,124,25.3,Medium
Yavatmal,2023-09-20,8.3,48,120,36.2,Extremely High
Ulhasnagar,2023-10-19,7.95,16,125,38.9,High
Kalyan-Dombivli,2024-06-28,9.22,60,132,58.1,Extremely High
Navi Mumbai,2024-01-13,6.6,88,144,44.1,High
Nandurbar,2023-08-06,5.18,63,144,49.0,High
Thane,2023-08-04,8.9,26,131,35.6,Extremely High
Ahmednagar,2025-08-10,9.55,25,130,60.4,Extremely High
Nagpur,2024-12-23,9.34,26,154,48.9,Extremely High
Solapur,2023-05-03,9.54,99,125,56.3,Extremely High
Ichalkaranji,2024-01-20,9.38,63,161,68.7,Extremely High
Kalyan-Dombivli,2023-12-31,7.07,67,142,61.4,High
Nandurbar,2023-06-11,1.99,130,109,15.3,Low
Amravati,2024-08-24,7.79,108,125,42.6,High
Ichalkaranji,2023-08-05,8.78,19,151,60.9,Extremely High
Nashik,2025-08-24,2.92,37,131,58.3,Medium
Ichalkaranji,2025-05-19,2.33,109,120,28.0,Low
Washim,2025-07-04,2.53,46,109,20.7,Medium
Satara,2025-09-28,3.66,95,180,25.0,Medium
Ichalkaranji,2025-09-21,7.31,76,171,47.4,High
Ambarnath,2024-10-01,2.21,120,179,53.5,Low
Panvel,2024-01-27,2.09,73,128,33.0,Low
Satara,2023-03-01,3.04,52,185,37.8,Medium
Akola,2025-03-08,3.87,69,134,36.2,Medium
Sindhudurg,2024-09-26,7.92,77,166,68.2,High
Nagpur,2024-11-11,7.44,91,157,42.7,High
Aurangabad,2023-09-02,7.31,46,131,37.1,High
Sindhudurg,2023-12-21,7.22,53,192,49.4,High
Jalna,2025-05-21,1.82,47,166,20.3,Low
Bhandara,2025-06-01,1.54,118,136,23.1,Low
Sangli,2023-03-30,4.6,59,168,60.0,Medium
Chandrapur,2024-05-04,4.39,95,160,26.6,Medium
Thane,2025-09-24,6.7,92,123,32.1,High
Panvel,2025-12-08,2.15,103,105,26.8,Low
Navi Mumbai,2024-07-21,2.78,132,144,30.8,Medium
Kolhapur,2024-12-14,8.88,24,139,34.2,Extremely High
Ulhasnagar,2023-07-25,9.35,16,142,73.9,Extremely High
Ambarnath,2025-06-30,7.88,82,178,70.0,High
Bhusawal,2023-03-31,6.59,52,126,39.7,High
Amravati,2023-02-21,9.2,29,121,36.1,Extremely High
Ichalkaranji,2023-12-06,9.69,70,195,39.6,Extremely High
Amravati,2025-07-11,5.64,24,152,62.9,High
Jalgaon,2023-10-04,4.58,66,147,49.4,Medium
Bhusawal,2025-09-19,5.41,52,183,46.9,High
Ulhasnagar,2024-05-01,5.83,82,124,49.9,High
Ratnagiri,2024-02-19,4.97,117,151,20.1,Medium
Bhandara,2024-12-19,4.73,49,181,53.5,Medium
Bhusawal,2024-04-25,6.05,52,186,34.1,High
Amravati,2024-03-20,4.32,76,171,20.5,Medium
Amravati,2023-04-09,4.91,49,188,45.3,Medium
Amravati,2025-12-11,3.54,106,152,32.7,Medium
Satara,2023-12-02,1.85,91,109,19.2,Low
Mira-Bhayandar,2024-11-25,3.67,76,111,22.3,Medium
Panvel,2025-10-11,5.37,76,160,50.6,High
Palghar,2023-04-07,7.76,64,124,73.0,High
Ichalkaranji,2023-12-30,7.57,101,154,31.9,High
Hingoli,2023-12-06,1.37,48,172,44.9,Low
Ahmednagar,2024-01-26,5.64,47,189,23.3,High
Osmanabad,2025-09-24,1.26,46,149,14.9,Low
Kalyan-Dombivli,2023-12-30,3.42,117,149,56.0,Medium
Hingoli,2025-01-02,2.75,82,185,52.0,Medium
Amravati,2023-04-11,4.8,110,166,29.2,Medium
Panvel,2025-01-15,4.79,48,179,35.8,Medium
Hingoli,2024-07-29,3.63,80,170,27.8,Medium
Osmanabad,2023-11-11,1.45,138,148,25.7,Low
Panvel,2025-07-04,7.56,29,163,49.9,High
Ulhasnagar,2025-07-07,1.49,66,160,26.5,Low
Yavatmal,2025-04-21,8.72,46,174,64.9,Extremely High
Sangli,2024-08-07,5.16,82,131,64.2,High
Kolhapur,2023-02-16,9.42,84,165,60.6,Extremely High
Mira-Bhayandar,2024-12-13,4.59,47,160,48.0,Medium
Nandurbar,2024-12-24,1.0,107,147,24.8,Low
Malegaon,2023-04-27,5.59,121,130,45.7,High
Jalna,2025-07-14,3.65,105,117,54.2,Medium
Pune,2025-02-06,3.52,121,120,32.5,Medium
Jalgaon,2023-10-12,2.59,58,139,24.5,Medium
Nanded,2024-02-20,8.07,41,174,29.6,Extremely High
Kalyan-Dombivli,2023-06-12,9.09,50,190,41.1,Extremely High
Navi Mumbai,2025-06-05,4.12,127,112,53.2,Medium
Mira-Bhayandar,2024-02-21,6.7,97,192,42.2,High
Ratnagiri,2023-02-23,9.11,22,152,41.0,Extremely High
Dhule,2025-12-12,2.39,67,178,16.0,Low
Wardha,2025-10-03,4.74,98,162,41.7,Medium
Palghar,2023-03-09,7.15,84,168,43.6,High
Mira-Bhayandar,2023-05-18,7.76,69,138,65.9,High
Navi Mumbai,2025-11-24,4.86,106,168,53.2,Medium
Nashik,2023-06-18,5.81,85,134,52.8,High
Palghar,2024-01-01,2.53,112,122,44.5,Medium
Ambarnath,2025-08-11,5.46,60,162,22.0,High
Latur,2024-05-27,4.81,115,130,50.3,Medium
Mumbai,2025-06-05,2.28,96,149,56.0,Low
Kolhapur,2025-09-11,7.51,98,177,29.4,High
Aurangabad,2023-07-19,8.18,20,190,38.3,Extremely High
Vasai-Virar,2025-10-27,5.45,60,168,57.6,High
Jalgaon,2023-10-18,3.94,76,164,54.5,Medium
Bhandara,2023-03-07,7.47,98,138,38.9,High
Washim,2025-01-14,2.82,42,116,53.1,Medium
Jalna,2023-08-23,7.76,91,142,59.6,High
Malegaon,2025-08-20,1.65,85,133,43.6,Low
Aurangabad,2024-03-24,9.12,101,177,68.5,Extremely High
Kalyan-Dombivli,2024-05-16,5.33,122,139,65.7,High
Malegaon,2024-02-27,3.51,112,111,35.9,Medium
Ahmednagar,2024-02-07,1.77,42,154,53.9,Low
Satara,2025-08-23,3.24,36,122,40.7,Medium
Bhusawal,2023-05-14,3.59,73,108,46.8,Medium
Sindhudurg,2023-12-09,1.79,108,131,26.3,Low
Jalgaon,2025-07-07,1.8,120,181,19.5,Low
Jalgaon,2025-01-24,6.02,112,156,65.6,High
Palghar,2023-06-18,3.89,105,120,55.8,Medium
Palghar,2025-07-15,1.01,54,116,51.8,Low
Satara,2023-10-21,7.4,67,192,66.2,High
Akola,2025-03-27,3.8,109,129,33.1,Medium
Kalyan-Dombivli,2024-01-30,5.69,93,118,44.2,High
Jalgaon,2023-01-01,6.41,58,123,27.4,High
Nanded,2023-07-15,1.55,113,149,35.4,Low
Jalgaon,2025-03-23,6.92,31,188,39.5,High
Aurangabad,2024-10-09,5.2,115,124,23.4,High
Sindhudurg,2023-11-23,5.16,60,121,21.0,High
Akola,2025-03-09,6.41,73,117,27.2,High
Nandurbar,2024-01-02,5.0,43,137,51.0,High
Ambarnath,2025-09-11,2.27,133,113,33.1,Low
Palghar,2023-11-07,7.64,87,176,33.0,High
Latur,2023-04-18,1.91,140,180,39.0,Low
Parbhani,2025-12-31,9.52,20,180,59.3,Extremely High
Amravati,2025-05-02,4.25,72,161,52.4,Medium
Beed,2023-05-11,8.5,81,166,41.1,Extremely High
Beed,2025-01-16,8.28,67,172,48.4,Extremely High
Mira-Bhayandar,2023-08-19,7.24,55,150,52.2,High
Akola,2024-11-16,1.69,120,161,15.6,Low
Nashik,2025-04-24,9.69,71,136,43.5,Extremely High
Ulhasnagar,2025-09-22,4.91,60,145,55.6,Medium
Ahmednagar,2023-10-11,4.97,101,119,22.1,Medium
Ulhasnagar,2025-03-16,3.81,31,179,30.8,Medium
Nandurbar,2024-12-31,9.21,39,161,57.2,Extremely High
Malegaon,2023-12-19,6.22,90,176,29.9,High
Chandrapur,2024-09-15,8.01,44,116,38.9,Extremely High
Satara,2025-10-21,1.34,76,123,20.4,Low
Kalyan-Dombivli,2023-11-09,2.94,84,113,47.2,Medium
Malegaon,2023-03-22,7.59,27,164,51.4,High
Wardha,2024-09-11,7.1,73,155,46.9,High
Panvel,2023-03-08,5.92,113,147,62.5,High
Navi Mumbai,2025-09-19,7.61,99,182,72.8,High
Vasai-Virar,2024-09-10,2.37,114,112,26.1,Low
Satara,2023-11-08,8.41,13,134,35.8,Extremely High
Ichalkaranji,2024-11-28,2.01,88,123,27.1,Low
Jalna,2023-01-27,8.43,47,190,55.7,Extremely High
Beed,2025-08-12,2.69,57,130,27.0,Medium
Nagpur,2024-03-23,5.27,91,130,38.9,High
Mira-Bhayandar,2023-07-28,3.91,99,114,20.4,Medium
Satara,2024-10-12,1.42,123,164,36.9,Low
Sindhudurg,2025-07-22,2.23,53,141,15.4,Low
Chandrapur,2023-09-28,6.02,60,159,26.0,High
Palghar,2024-01-19,4.82,40,136,46.0,Medium
Chandrapur,2023-04-09,5.15,121,164,47.1,High
Navi Mumbai,2025-04-03,8.09,21,117,43.3,Extremely High
Ulhasnagar,2024-10-15,3.42,114,127,53.0,Medium
Nashik,2023-11-01,4.54,77,151,21.2,Medium
Bhandara,2024-04-18,4.1,116,184,36.7,Medium
Jalgaon,2025-12-05,2.72,112,183,13.3,Medium
Mumbai,2023-10-01,6.93,57,143,66.4,High
Bhusawal,2024-06-22,4.86,100,157,21.7,Medium
Jalgaon,2024-12-17,2.03,50,150,11.4,Low
Jalna,2025-05-29,7.33,78,155,55.4,High
Sindhudurg,2024-03-06,6.26,55,133,62.9,High
Solapur,2024-09-13,3.83,85,171,58.8,Medium
Vasai-Virar,2024-03-14,5.59,57,124,48.6,High
Wardha,2025-09-10,8.83,98,196,43.0,Extremely High
Mumbai,2025-02-23,3.98,127,130,31.9,Medium
Malegaon,2023-03-17,2.48,93,168,40.8,Low
Satara,2025-08-29,1.56,128,177,46.0,Low
Dhule,2025-06-30,5.68,115,158,56.1,High
Vasai-Virar,2023-07-20,4.76,57,119,19.6,Medium
Osmanabad,2023-10-18,1.74,127,132,32.6,Low
Yavatmal,2023-11-28,7.18,62,131,60.0,High
Thane,2023-08-05,1.97,94,178,21.0,Low
Amravati,2025-10-22,3.74,57,174,32.3,Medium
Bhiwandi,2025-09-07,8.85,94,133,58.0,Extremely High
Osmanabad,2025-05-30,8.37,27,187,72.4,Extremely High
Aurangabad,2024-03-23,4.05,101,119,27.6,Medium
Nagpur,2025-05-14,9.84,47,120,50.6,Extremely High
Satara,2023-10-26,1.29,121,135,47.3,Low
Dhule,2023-12-02,5.06,71,183,58.6,High
Ichalkaranji,2025-09-25,1.0,78,103,52.4,Low
Nashik,2023-08-20,4.8,40,178,63.1,Medium
Jalna,2024-08-22,7.4,99,171,37.8,High
Panvel,2025-01-12,1.19,56,117,32.3,Low
Nandurbar,2025-03-30,6.6,98,139,58.9,High
Yavatmal,2025-01-31,4.32,51,145,20.5,Medium
Ichalkaranji,2025-11-11,9.79,76,181,78.2,Extremely High
Panvel,2025-05-30,5.38,61,128,50.9,High
Wardha,2024-07-03,3.39,123,179,30.4,Medium
Nagpur,2025-09-27,4.8,85,158,35.3,Medium
Vasai-Virar,2025-08-01,1.64,51,170,42.2,Low
Ulhasnagar,2023-05-03,4.77,75,139,45.6,Medium
Pune,2023-09-23,7.91,19,143,61.1,High
Sangli,2023-06-28,6.9,40,131,43.0,High
Ulhasnagar,2024-10-15,8.05,51,175,70.4,Extremely High
Bhiwandi,2024-11-11,3.68,125,152,54.4,Medium
Bhandara,2023-10-04,1.87,90,159,49.8,Low
Ahmednagar,2023-10-24,5.03,87,134,41.9,High
Bhiwandi,2025-07-08,3.41,53,158,38.0,Medium
Pune,2024-10-28,2.1,76,178,26.0,Low
Bhandara,2023-04-10,7.35,62,140,44.6,High
Washim,2024-01-30,7.94,92,183,36.7,High
Jalna,2023-06-25,3.77,93,138,61.2,Medium
Mumbai,2024-11-21,5.88,118,139,26.8,High
Yavatmal,2025-08-27,8.67,105,123,73.1,Extremely High
Pune,2025-04-19,7.81,36,147,41.0,High
Chandrapur,2024-10-17,3.46,108,174,19.0,Medium
Latur,2023-12-01,4.29,119,141,31.1,Medium
Navi Mumbai,2024-04-20,4.14,84,169,26.1,Medium
Jalna,2025-12-20,5.49,71,160,43.0,High
Wardha,2024-10-23,3.42,83,156,41.9,Medium
Mira-Bhayandar,2024-05-07,5.35,76,176,38.5,High
Amravati,2023-12-16,9.82,83,146,55.4,Extremely High
Latur,2024-01-11,6.78,32,138,48.3,High
Ahmednagar,2025-08-10,3.9,56,123,57.7,Medium
Ichalkaranji,2024-08-17,3.74,98,152,41.8,Medium
Akola,2025-11-14,5.48,122,181,53.7,High
Yavatmal,2025-07-08,9.84,66,181,73.7,Extremely High
Ambarnath,2025-01-04,2.21,91,141,42.5,Low
Mumbai,2025-07-05,6.89,51,190,64.9,High
Thane,2024-07-29,9.87,43,125,41.0,Extremely High
Solapur,2023-09-01,8.01,79,127,52.0,Extremely High
Parbhani,2024-05-18,7.39,76,123,28.0,High
Amravati,2025-04-17,6.38,114,140,59.7,High
Jalna,2025-06-09,8.0,88,175,68.4,Extremely High
Bhusawal,2024-02-18,1.25,112,131,27.9,Low
Gondia,2025-09-08,5.6,85,174,62.7,High
Akola,2025-06-03,8.6,83,169,51.9,Extremely High
Latur,2024-12-01,7.92,18,192,51.9,High
Amravati,2025-11-27,9.3,60,178,51.3,Extremely High
Ulhasnagar,2023-08-12,4.99,95,180,29.8,Medium
Ahmednagar,2024-01-01,8.87,79,144,46.9,Extremely High
Dhule,2025-09-07,9.0,82,144,54.3,Extremely High
Hingoli,2024-10-29,7.8,99,154,53.1,High
Aurangabad,2024-01-19,3.36,37,109,42.2,Medium
Thane,2024-03-31,1.74,134,135,50.2,Low
Osmanabad,2025-03-23,3.12,121,141,15.1,Medium
Jalna,2025-09-22,3.96,104,148,50.8,Medium
Sindhudurg,2023-03-21,2.29,101,133,33.5,Low
Dhule,2025-11-24,9.55,99,141,50.7,Extremely High
Akola,2023-06-22,8.89,19,132,58.0,Extremely High
Amravati,2023-09-17,1.06,74,136,25.4,Low
Navi Mumbai,2023-11-16,8.81,82,163,70.1,Extremely High
Sindhudurg,2024-04-06,6.87,35,167,54.2,High
Malegaon,2023-03-08,9.46,34,157,75.1,Extremely High
Nashik,2023-12-18,5.68,32,131,62.9,High
Jalna,2025-10-15,8.49,13,175,43.0,Extremely High
Satara,2023-04-11,3.9,35,109,31.2,Medium
Yavatmal,2023-11-15,2.93,106,161,52.3,Medium
Solapur,2023-03-15,1.65,120,143,22.4,Low
Ambarnath,2023-06-05,3.61,43,138,29.2,Medium
Nashik,2023-04-24,5.67,24,141,63.9,High
Hingoli,2025-02-25,5.33,72,137,59.5,High
Jalgaon,2025-04-26,2.29,85,170,24.0,Low
Mumbai,2025-07-29,1.96,127,146,43.8,Low
Akola,2023-07-16,1.09,124,120,41.6,Low
Amravati,2025-01-20,2.73,130,160,34.3,Medium
Mumbai,2024-03-24,6.88,39,138,61.8,High
Ahmednagar,2025-01-30,4.25,59,138,27.8,Medium
Ratnagiri,2023-02-11,5.86,98,145,49.7,High
Bhandara,2023-09-11,5.88,26,142,51.8,High
Jalgaon,2024-10-12,6.28,50,153,43.1,High
Washim,2025-06-23,4.62,57,168,53.7,Medium
Sindhudurg,2025-05-31,8.34,80,123,61.8,Extremely High
Parbhani,2023-03-07,7.7,22,166,69.1,High
Dhule,2025-11-13,7.1,16,187,54.6,High
Latur,2025-06-21,4.41,56,149,36.6,Medium
Kolhapur,2023-11-25,7.28,27,136,66.8,High
Ichalkaranji,2025-11-19,9.27,40,151,62.5,Extremely High
Akola,2024-02-20,6.63,104,120,51.6,High
Ulhasnagar,2024-02-29,1.82,135,159,21.9,Low
Nandurbar,2023-04-17,8.94,71,181,68.6,Extremely High
Parbhani,2024-03-22,6.4,65,145,35.8,High
Malegaon,2023-08-04,1.46,83,160,14.8,Low
Satara,2023-08-26,7.98,33,186,55.8,High
Gondia,2024-04-02,2.92,39,138,30.3,Medium
Sindhudurg,2024-01-20,4.84,119,162,25.7,Medium
Sangli,2025-12-05,1.68,112,131,28.8,Low
Wardha,2024-11-05,8.82,58,157,52.9,Extremely High
Parbhani,2023-05-23,3.61,33,108,40.0,Medium
Bhiwandi,2025-04-04,4.37,90,133,24.8,Medium
Ichalkaranji,2024-11-23,4.1,69,143,45.7,Medium
