Migrant_ID,Current_City,Origin_State,Origin_City,Age,Gender,Occupation,Migration_Reason,Migration_Date,Status
MIG00022,Kalyan-Dombivli,Bihar,Muzaffarpur,46,Male,Construction Worker,Family Move,2024-05-01,Active
MIG00023,Jalna,Chhattisgarh,Raipur,31,Male,Factory Worker,Family Move,2024-06-15,Active
MIG00024,Thane,Andhra Pradesh,Visakhapatnam,26,Male,Security Guard,Displacement,2024-07-30,Active
MIG00025,Ambarnath,Gujarat,Vadodara,26,Other,Domestic Help,Education,2025-08-13,Active
MIG00026,Parbhani,Odisha,Cuttack,44,Male,Construction Worker,Family Move,2022-08-11,Active
MIG00027,Malegaon,Madhya Pradesh,Jabalpur,51,Male,Construction Worker,Employment,2024-06-10,Active
MIG00028,Mira-Bhayandar,Chhattisgarh,Raipur,31,Male,Factory Worker,Employment,2025-08-08,Active
MIG00029,Thane,Madhya Pradesh,Indore,34,Male,Factory Worker,Employment,2024-09-04,Active
MIG00030,Nandurbar,West Bengal,Kolkata,41,Female,Domestic Help,Education,2024-08-15,Active
MIG00031,Gondia,Rajasthan,Jaipur,53,Other,Construction Worker,Displacement,2023-10-15,Active
MIG00032,Palghar,Karnataka,Bengaluru,24,Other,Construction Worker,Family Move,2021-12-21,Active
MIG00033,Ratnagiri,Andhra Pradesh,Vijayawada,47,Other,Construction Worker,Marriage,2022-11-25,Active
MIG00034,Jalna,Chhattisgarh,Raipur,20,Male,Small Vendor,Family Move,2022-06-18,Active
MIG00035,Bhandara,Uttar Pradesh,Lucknow,58,Female,Factory Worker,Family Move,2022-12-24,Active
MIG00036,Mira-Bhayandar,Telangana,Warangal,37,Male,Agricultural Laborer,Family Move,2025-06-21,Active
MIG00037,Aurangabad,Madhya Pradesh,Indore,30,Other,Construction Worker,Family Move,2023-12-07,Active
MIG00038,Ichalkaranji,Uttar Pradesh,Varanasi,45,Male,Domestic Help,Education,2025-08-08,Active
MIG00039,Ratnagiri,Uttar Pradesh,Kanpur,32,Female,Daily Wage Laborer,Displacement,2023-06-06,Active
MIG00040,Bhandara,Chhattisgarh,Bhilai,43,Female,Daily Wage Laborer,Education,2024-01-01,Active
MIG00041,Aurangabad,West Bengal,Kolkata,32,Male,Small Vendor,Education,2021-12-10,Active
MIG00042,Nandurbar,Telangana,Warangal,30,Male,Security Guard,Marriage,2023-07-14,Active
MIG00043,Bhandara,Uttar Pradesh,Varanasi,49,Female,Factory Worker,Marriage,2025-04-15,Active
MIG00044,Gondia,Madhya Pradesh,Indore,50,Female,Driver,Employment,2021-04-24,Active
MIG00045,Ambarnath,West Bengal,Kolkata,24,Other,Domestic Help,Marriage,2023-11-16,Active
MIG00046,Beed,Madhya Pradesh,Indore,43,Other,Daily Wage Laborer,Education,2025-08-07,Active
MIG00047,Sangli,Bihar,Muzaffarpur,47,Other,Construction Worker,Marriage,2023-03-17,Active
MIG00048,Pune,Telangana,Hyderabad,47,Male,Construction Worker,Employment,2022-10-19,Active
MIG00049,Gondia,Madhya Pradesh,Indore,48,Male,Daily Wage Laborer,Marriage,2021-05-07,Active
MIG00050,Bhiwandi,Bihar,Muzaffarpur,41,Female,Domestic Help,Family Move,2021-11-02,Active
MIG00051,Yavatmal,Odisha,Cuttack,36,Other,Driver,Marriage,2024-09-27,Active
MIG00052,Latur,Andhra Pradesh,Vijayawada,40,Male,Construction Worker,Displacement,2021-01-03,Active
MIG00053,Osmanabad,Telangana,Hyderabad,28,Male,Domestic Help,Displacement,2023-05-23,Active
MIG00054,Jalgaon,West Bengal,Kolkata,36,Male,Small Vendor,Employment,2023-05-11,Active
MIG00055,Hingoli,Gujarat,Surat,56,Female,Agricultural Laborer,Displacement,2022-01-29,Active
MIG00056,Ahmednagar,Uttar Pradesh,Lucknow,53,Other,Agricultural Laborer,Employment,2025-05-05,Active
MIG00057,Mira-Bhayandar,Gujarat,Vadodara,28,Other,Driver,Employment,2022-05-18,Active
MIG00058,Ulhasnagar,Uttar Pradesh,Kanpur,39,Other,Domestic Help,Family Move,2021-02-07,Active
MIG00059,Panvel,Karnataka,Hubballi,32,Other,Factory Worker,Displacement,2024-08-08,Active
MIG00060,Ambarnath,Chhattisgarh,Bhilai,33,Male,Security Guard,Employment,2021-10-16,Active
MIG00061,Amravati,Andhra Pradesh,Visakhapatnam,47,Female,Construction Worker,Employment,2024-02-15,Active
MIG00062,Thane,Rajasthan,Jaipur,34,Female,Daily Wage Laborer,Education,2023-06-08,Active
MIG00063,Bhiwandi,Uttar Pradesh,Kanpur,59,Female,Factory Worker,Education,2023-04-06,Active
MIG00064,Nagpur,Rajasthan,Jaipur,23,Male,Daily Wage Laborer,Marriage,2023-12-13,Active
MIG00065,Washim,Bihar,Gaya,49,Other,Driver,Education,2022-02-22,Active
MIG00066,Ambarnath,Odisha,Bhubaneswar,54,Male,Construction Worker,Employment,2025-04-28,Active
MIG00067,Malegaon,West Bengal,Kolkata,33,Male,Daily Wage Laborer,Marriage,2023-12-31,Active
MIG00068,Vasai-Virar,Gujarat,Surat,19,Male,Security Guard,Family Move,2023-11-07,Active
MIG00069,Kolhapur,Telangana,Warangal,45,Female,Daily Wage Laborer,Family Move,2022-01-01,Active
MIG00070,Nanded,Odisha,Bhubaneswar,33,Other,Small Vendor,Employment,2025-11-26,Active
MIG00071,Ulhasnagar,Odisha,Bhubaneswar,42,Female,Driver,Education,2025-10-29,Active
MIG00072,Mumbai,Chhattisgarh,Bhilai,42,Female,Factory Worker,Marriage,2024-08-09,Active
MIG00073,Wardha,Andhra Pradesh,Vijayawada,53,Other,Factory Worker,Education,2022-08-24,Active
MIG00074,Sindhudurg,Chhattisgarh,Raipur,46,Male,Construction Worker,Displacement,2021-04-11,Active
MIG00075,Ulhasnagar,Bihar,Muzaffarpur,40,Male,Agricultural Laborer,Family Move,2021-08-25,Active
MIG00076,Vasai-Virar,Bihar,Patna,33,Other,Domestic Help,Family Move,2025-02-09,Active
MIG00077,Pune,Rajasthan,Jodhpur,41,Female,Small Vendor,Displacement,2024-12-16,Active
MIG00078,Ratnagiri,Telangana,Warangal,39,Other,Security Guard,Family Move,2024-03-25,Active
MIG00079,Thane,Andhra Pradesh,Vijayawada,30,Female,Small Vendor,Displacement,2022-11-04,Active
MIG00080,Amravati,Uttar Pradesh,Lucknow,34,Female,Domestic Help,Marriage,2025-08-05,Active
MIG00081,Mumbai,Rajasthan,Jaipur,27,Other,Daily Wage Laborer,Marriage,2022-02-01,Active
MIG00082,Pune,Telangana,Warangal,59,Female,Driver,Marriage,2023-03-05,Active
MIG00083,Wardha,Andhra Pradesh,Vijayawada,27,Female,Daily Wage Laborer,Education,2025-08-29,Active
MIG00084,Ichalkaranji,Odisha,Cuttack,51,Female,Security Guard,Displacement,2025-12-03,Active
MIG00085,Ichalkaranji,Gujarat,Surat,25,Male,Driver,Marriage,2023-11-01,Active
MIG00086,Bhandara,Odisha,Bhubaneswar,48,Female,Daily Wage Laborer,Marriage,2021-10-26,Active
MIG00087,Parbhani,Bihar,Gaya,41,Female,Domestic Help,Employment,2022-11-04,Active
MIG00088,Nagpur,Andhra Pradesh,Vijayawada,43,Other,Agricultural Laborer,Education,2021-09-21,Active
MIG00089,Jalgaon,Karnataka,Bengaluru,37,Other,Construction Worker,Employment,2024-11-24,Active
MIG00090,Ichalkaranji,Andhra Pradesh,Visakhapatnam,28,Male,Construction Worker,Family Move,2021-05-02,Active
MIG00091,Chandrapur,Andhra Pradesh,Vijayawada,45,Female,Domestic Help,Marriage,2022-05-18,Active
MIG00092,Ulhasnagar,Gujarat,Vadodara,30,Other,Small Vendor,Education,2021-09-19,Active
MIG00093,Beed,Madhya Pradesh,Bhopal,21,Other,Construction Worker,Displacement,2024-01-17,Active
MIG00094,Ichalkaranji,West Bengal,Durgapur,41,Female,Agricultural Laborer,Marriage,2024-08-22,Active
MIG00095,Kolhapur,Uttar Pradesh,Varanasi,27,Male,Security Guard,Employment,2023-06-28,Active
MIG00096,Latur,Telangana,Warangal,40,Other,Security Guard,Marriage,2025-10-15,Active
MIG00097,Bhandara,West Bengal,Kolkata,31,Male,Agricultural Laborer,Education,2022-04-07,Active
MIG00098,Thane,Uttar Pradesh,Lucknow,19,Female,Agricultural Laborer,Displacement,2025-04-23,Active
MIG00099,Ambarnath,Madhya Pradesh,Jabalpur,58,Male,Daily Wage Laborer,Education,2025-08-01,Active
MIG00100,Pune,Odisha,Bhubaneswar,57,Female,Factory Worker,Displacement,2022-11-14,Active
MIG00101,Vasai-Virar,Telangana,Hyderabad,48,Female,Factory Worker,Displacement,2021-06-03,Active
MIG00102,Dhule,West Bengal,Howrah,36,Other,Driver,Employment,2024-05-20,Active
MIG00103,Mumbai,Bihar,Gaya,55,Male,Security Guard,Employment,2021-04-04,Active
MIG00104,Kalyan-Dombivli,Andhra Pradesh,Visakhapatnam,46,Other,Daily Wage Laborer,Marriage,2024-11-15,Active
MIG00105,Washim,West Bengal,Durgapur,28,Other,Daily Wage Laborer,Education,2023-02-15,Active
MIG00106,Vasai-Virar,Madhya Pradesh,Jabalpur,34,Male,Agricultural Laborer,Education,2023-11-01,Active
MIG00107,Ambarnath,Uttar Pradesh,Varanasi,24,Female,Construction Worker,Marriage,2024-10-06,Active
MIG00108,Sindhudurg,Madhya Pradesh,Jabalpur,46,Male,Small Vendor,Family Move,2025-03-20,Active
MIG00109,Pune,West Bengal,Durgapur,24,Male,Security Guard,Family Move,2023-06-18,Active
MIG00110,Wardha,Rajasthan,Jodhpur,48,Female,Driver,Marriage,2025-08-24,Active
MIG00111,Gondia,Gujarat,Ahmedabad,52,Female,Daily Wage Laborer,Family Move,2023-09-28,Active
MIG00112,Nanded,Karnataka,Mysuru,20,Female,Small Vendor,Employment,2022-06-25,Active
MIG00113,Aurangabad,Uttar Pradesh,Varanasi,54,Other,Security Guard,Displacement,2022-05-19,Active
MIG00114,Nanded,West Bengal,Kolkata,57,Other,Daily Wage Laborer,Displacement,2021-05-14,Active
MIG00115,Kolhapur,Chhattisgarh,Bhilai,43,Male,Factory Worker,Employment,2025-01-20,Active
MIG00116,Nashik,Gujarat,Ahmedabad,25,Other,Daily Wage Laborer,Education,2023-08-30,Active
MIG00117,Yavatmal,Karnataka,Bengaluru,19,Male,Daily Wage Laborer,Employment,2022-01-27,Active
MIG00118,Ulhasnagar,Bihar,Muzaffarpur,20,Female,Small Vendor,Employment,2024-08-05,Active
MIG00119,Panvel,Rajasthan,Udaipur,45,Female,Security Guard,Employment,2021-04-12,Active
MIG00120,Ichalkaranji,Andhra Pradesh,Vijayawada,53,Female,Factory Worker,Family Move,2025-01-04,Active
MIG00121,Beed,Madhya Pradesh,Indore,53,Other,Daily Wage Laborer,Marriage,2023-02-21,Active
MIG00122,Mumbai,Bihar,Patna,25,Female,Domestic Help,Education,2021-12-17,Active
MIG00123,Hingoli,Chhattisgarh,Raipur,47,Male,Domestic Help,Education,2025-03-31,Active
MIG00124,Dhule,Telangana,Warangal,57,Male,Factory Worker,Marriage,2025-08-23,Active
MIG00125,Bhusawal,Rajasthan,Jaipur,37,Other,Security Guard,Family Move,2022-09-12,Active
MIG00126,Akola,West Bengal,Durgapur,22,Other,Security Guard,Employment,2023-04-18,Active
MIG00127,Jalgaon,Andhra Pradesh,Visakhapatnam,20,Female,Daily Wage Laborer,Marriage,2023-10-28,Active
MIG00128,Nagpur,Rajasthan,Jodhpur,34,Female,Security Guard,Family Move,2022-08-02,Active
MIG00129,Bhandara,Uttar Pradesh,Varanasi,19,Other,Construction Worker,Employment,2024-02-17,Active
MIG00130,Palghar,Chhattisgarh,Bhilai,56,Male,Daily Wage Laborer,Education,2024-09-04,Active
MIG00131,Beed,Gujarat,Surat,35,Other,Small Vendor,Education,2024-09-02,Active
MIG00132,Hingoli,Bihar,Gaya,56,Male,Driver,Marriage,2021-02-18,Active
MIG00133,Mira-Bhayandar,Rajasthan,Jaipur,58,Male,Domestic Help,Displacement,2022-09-07,Active
MIG00134,Ahmednagar,Uttar Pradesh,Kanpur,60,Male,Factory Worker,Employment,2024-07-26,Active
MIG00135,Kolhapur,Odisha,Cuttack,28,Male,Security Guard,Employment,2025-05-01,Active
MIG00136,Latur,Bihar,Muzaffarpur,55,Other,Daily Wage Laborer,Marriage,2023-05-03,Active
MIG00137,Jalgaon,Andhra Pradesh,Vijayawada,43,Male,Driver,Employment,2022-12-13,Active
MIG00138,Jalna,Madhya Pradesh,Indore,22,Other,Small Vendor,Employment,2024-06-15,Active
MIG00139,Ulhasnagar,Andhra Pradesh,Visakhapatnam,38,Male,Construction Worker,Displacement,2024-03-23,Active
MIG00140,Hingoli,Madhya Pradesh,Indore,35,Male,Agricultural Laborer,Displacement,2023-09-28,Active
MIG00141,Thane,Karnataka,Mysuru,18,Female,Agricultural Laborer,Education,2024-05-15,Active
MIG00142,Malegaon,Madhya Pradesh,Jabalpur,55,Female,Construction Worker,Employment,2021-05-28,Active
MIG00143,Nagpur,Bihar,Gaya,43,Other,Small Vendor,Education,2024-09-16,Active
MIG00144,Nandurbar,Bihar,Patna,26,Male,Small Vendor,Employment,2022-12-01,Active
MIG00145,Vasai-Virar,Bihar,Patna,32,Female,Domestic Help,Marriage,2023-02-05,Active
MIG00146,Kalyan-Dombivli,Odisha,Cuttack,32,Male,Domestic Help,Family Move,2023-06-26,Active
MIG00147,Panvel,Rajasthan,Jaipur,25,Female,Factory Worker,Marriage,2025-04-02,Active
MIG00148,Dhule,Rajasthan,Udaipur,49,Female,Factory Worker,Family Move,2024-05-31,Active
MIG00149,Satara,Bihar,Gaya,34,Female,Small Vendor,Education,2021-04-18,Active
MIG00150,Yavatmal,Odisha,Cuttack,44,Male,Driver,Employment,2022-08-19,Active
MIG00151,Pune,West Bengal,Kolkata,56,Male,Domestic Help,Education,2025-06-16,Active
MIG00152,Nandurbar,Odisha,Cuttack,55,Female,Agricultural Laborer,Education,2025-08-19,Active
MIG00153,Nagpur,Telangana,Warangal,59,Other,Construction Worker,Family Move,2025-01-12,Active
MIG00154,Ambarnath,Madhya Pradesh,Jabalpur,47,Male,Agricultural Laborer,Displacement,2021-12-28,Active
MIG00155,Nanded,Rajasthan,Jaipur,32,Female,Factory Worker,Marriage,2023-10-01,Active
MIG00156,Jalgaon,Telangana,Hyderabad,53,Other,Domestic Help,Education,2022-12-20,Active
MIG00157,Latur,West Bengal,Durgapur,57,Female,Factory Worker,Displacement,2024-12-08,Active
MIG00158,Navi Mumbai,Telangana,Hyderabad,57,Other,Construction Worker,Education,2022-11-14,Active
MIG00159,Palghar,Rajasthan,Jodhpur,53,Female,Security Guard,Displacement,2022-09-03,Active
MIG00160,Latur,Chhattisgarh,Bhilai,55,Other,Construction Worker,Employment,2024-09-13,Active
MIG00161,Panvel,Andhra Pradesh,Visakhapatnam,36,Male,Small Vendor,Displacement,2025-11-30,Active
MIG00162,Chandrapur,Bihar,Patna,59,Female,Security Guard,Education,2022-06-20,Active
MIG00163,Sindhudurg,Telangana,Warangal,22,Male,Driver,Education,2022-08-05,Active
MIG00164,Sangli,Gujarat,Ahmedabad,39,Female,Security Guard,Family Move,2022-02-24,Active
MIG00165,Yavatmal,Bihar,Muzaffarpur,43,Male,Daily Wage Laborer,Marriage,2023-11-05,Active
MIG00166,Solapur,Telangana,Warangal,26,Female,Agricultural Laborer,Family Move,2025-11-28,Active
MIG00167,Satara,Telangana,Hyderabad,46,Other,Construction Worker,Displacement,2023-01-22,Active
MIG00168,Bhusawal,Telangana,Warangal,22,Male,Factory Worker,Family Move,2025-10-24,Active
MIG00169,Navi Mumbai,Telangana,Hyderabad,48,Female,Agricultural Laborer,Displacement,2022-07-14,Active
MIG00170,Palghar,Rajasthan,Jaipur,48,Other,Daily Wage Laborer,Education,2022-06-17,Active
MIG00171,Mumbai,Madhya Pradesh,Bhopal,24,Other,Daily Wage Laborer,Education,2024-09-06,Active
MIG00172,Satara,Rajasthan,Jaipur,28,Female,Daily Wage Laborer,Displacement,2025-01-23,Active
MIG00173,Mira-Bhayandar,West Bengal,Durgapur,47,Female,Daily Wage Laborer,Marriage,2021-07-11,Active
MIG00174,Panvel,Rajasthan,Jaipur,44,Female,Driver,Education,2023-10-21,Active
MIG00175,Chandrapur,Gujarat,Surat,54,Female,Security Guard,Employment,2023-04-10,Active
MIG00176,Navi Mumbai,Uttar Pradesh,Kanpur,39,Female,Daily Wage Laborer,Education,2023-07-16,Active
MIG00177,Satara,Telangana,Hyderabad,57,Male,Domestic Help,Marriage,2021-09-21,Active
MIG00178,Jalgaon,Uttar Pradesh,Varanasi,24,Male,Domestic Help,Education,2022-02-19,Active
MIG00179,Hingoli,West Bengal,Durgapur,19,Other,Driver,Employment,2024-02-04,Active
MIG00180,Latur,Uttar Pradesh,Kanpur,30,Other,Domestic Help,Education,2023-11-17,Active
MIG00181,Solapur,Chhattisgarh,Bhilai,34,Female,Agricultural Laborer,Education,2024-09-13,Active
MIG00182,Ichalkaranji,Karnataka,Hubballi,39,Male,Factory Worker,Displacement,2022-05-13,Active
MIG00183,Bhusawal,Chhattisgarh,Raipur,48,Male,Daily Wage Laborer,Displacement,2024-09-21,Active
MIG00184,Yavatmal,Madhya Pradesh,Bhopal,36,Other,Construction Worker,Displacement,2022-11-26,Active
MIG00185,Bhiwandi,Rajasthan,Udaipur,33,Female,Driver,Marriage,2021-11-07,Active
MIG00186,Washim,Odisha,Cuttack,48,Male,Domestic Help,Displacement,2022-10-05,Active
MIG00187,Aurangabad,Madhya Pradesh,Indore,59,Male,Daily Wage Laborer,Employment,2025-08-13,Active
MIG00188,Wardha,Karnataka,Mysuru,20,Male,Driver,Employment,2024-03-01,Active
MIG00189,Parbhani,Gujarat,Surat,53,Other,Daily Wage Laborer,Displacement,2023-04-10,Active
MIG00190,Akola,Madhya Pradesh,Bhopal,47,Female,Agricultural Laborer,Marriage,2023-05-07,Active
MIG00191,Beed,Andhra Pradesh,Vijayawada,59,Male,Driver,Displacement,2021-04-09,Active
MIG00192,Yavatmal,Karnataka,Hubballi,42,Male,Factory Worker,Education,2023-06-19,Active
MIG00193,Aurangabad,Madhya Pradesh,Indore,59,Male,Security Guard,Employment,2022-02-05,Active
MIG00194,Nandurbar,Gujarat,Surat,41,Female,Driver,Education,2022-12-17,Active
MIG00195,Nagpur,Rajasthan,Udaipur,32,Female,Factory Worker,Displacement,2024-08-10,Active
MIG00196,Bhandara,Madhya Pradesh,Bhopal,38,Other,Small Vendor,Family Move,2022-08-11,Active
MIG00197,Nanded,Bihar,Gaya,20,Other,Domestic Help,Family Move,2025-01-25,Active
MIG00198,Mira-Bhayandar,Karnataka,Bengaluru,48,Other,Security Guard,Displacement,2023-02-19,Active
MIG00199,Osmanabad,Madhya Pradesh,Bhopal,40,Male,Daily Wage Laborer,Employment,2021-01-23,Active
MIG00200,Thane,Chhattisgarh,Raipur,39,Female,Domestic Help,Employment,2023-12-16,Active
MIG00201,Ulhasnagar,Bihar,Patna,35,Female,Agricultural Laborer,Displacement,2025-06-29,Active
MIG00202,Kolhapur,Gujarat,Surat,34,Other,Agricultural Laborer,Marriage,2024-11-25,Active
MIG00203,Wardha,West Bengal,Durgapur,40,Male,Domestic Help,Employment,2025-08-29,Active
MIG00204,Sindhudurg,Chhattisgarh,Bhilai,49,Male,Small Vendor,Displacement,2025-01-25,Active
MIG00205,Parbhani,Uttar Pradesh,Kanpur,30,Other,Driver,Education,2024-06-23,Active
MIG00206,Mira-Bhayandar,Rajasthan,Jodhpur,36,Female,Small Vendor,Displacement,2023-12-24,Active
MIG00207,Gondia,Rajasthan,Jaipur,30,Other,Daily Wage Laborer,Marriage,2024-06-24,Active
MIG00208,Washim,Gujarat,Ahmedabad,48,Other,Small Vendor,Displacement,2025-06-20,Active
MIG00209,Latur,West Bengal,Kolkata,22,Female,Factory Worker,Displacement,2023-09-18,Active
MIG00210,Ahmednagar,Andhra Pradesh,Vijayawada,48,Female,Small Vendor,Marriage,2023-02-12,Active
MIG00211,Osmanabad,Gujarat,Vadodara,20,Other,Daily Wage Laborer,Education,2023-12-20,Active
MIG00212,Parbhani,Gujarat,Vadodara,19,Female,Security Guard,Marriage,2025-06-11,Active
MIG00213,Nashik,Karnataka,Mysuru,27,Male,Construction Worker,Marriage,2025-02-09,Active
MIG00214,Latur,Madhya Pradesh,Bhopal,29,Male,Security Guard,Employment,2021-02-19,Active
MIG00215,Latur,Andhra Pradesh,Vijayawada,43,Other,Driver,Family Move,2025-11-14,Active
MIG00216,Palghar,Madhya Pradesh,Bhopal,23,Other,Security Guard,Education,2022-12-16,Active
MIG00217,Bhiwandi,Rajasthan,Udaipur,40,Male,Construction Worker,Displacement,2025-10-08,Active
MIG00218,Vasai-Virar,Rajasthan,Jaipur,34,Male,Factory Worker,Employment,2023-02-24,Active
MIG00219,Chandrapur,Gujarat,Surat,40,Male,Driver,Displacement,2024-05-05,Active
MIG00220,Ahmednagar,Uttar Pradesh,Lucknow,33,Other,Driver,Employment,2024-12-13,Active
MIG00221,Chandrapur,Gujarat,Surat,52,Other,Daily Wage Laborer,Displacement,2025-07-06,Active
MIG00222,Washim,Karnataka,Mysuru,48,Female,Domestic Help,Family Move,2024-12-18,Active
MIG00223,Kalyan-Dombivli,Chhattisgarh,Bhilai,36,Other,Factory Worker,Marriage,2023-04-20,Active
MIG00224,Ichalkaranji,Chhattisgarh,Raipur,52,Male,Daily Wage Laborer,Marriage,2025-09-27,Active
MIG00225,Yavatmal,Chhattisgarh,Bhilai,21,Male,Daily Wage Laborer,Employment,2023-11-05,Active
MIG00226,Sangli,Karnataka,Bengaluru,43,Other,Small Vendor,Marriage,2021-06-21,Active
MIG00227,Wardha,Andhra Pradesh,Visakhapatnam,32,Other,Security Guard,Displacement,2025-11-06,Active
MIG00228,Jalgaon,Chhattisgarh,Raipur,29,Other,Factory Worker,Marriage,2022-12-29,Active
MIG00229,Navi Mumbai,Bihar,Gaya,30,Male,Domestic Help,Employment,2023-02-06,Active
MIG00230,Yavatmal,Gujarat,Vadodara,29,Male,Factory Worker,Employment,2022-06-23,Active
MIG00231,Kolhapur,Rajasthan,Jaipur,48,Male,Security Guard,Family Move,2022-02-07,Active
MIG00232,Yavatmal,Madhya Pradesh,Jabalpur,31,Male,Small Vendor,Family Move,2023-06-07,Active
MIG00233,Wardha,Telangana,Warangal,23,Male,Construction Worker,Family Move,2025-05-11,Active
MIG00234,Ahmednagar,Bihar,Muzaffarpur,28,Other,Domestic Help,Marriage,2024-01-20,Active
MIG00235,Bhusawal,Karnataka,Mysuru,40,Other,Construction Worker,Employment,2025-10-26,Active
MIG00236,Nashik,Andhra Pradesh,Visakhapatnam,28,Male,Small Vendor,Displacement,2021-01-01,Active
MIG00237,Parbhani,Uttar Pradesh,Varanasi,25,Female,Driver,Marriage,2024-04-11,Active
MIG00238,Mira-Bhayandar,Odisha,Cuttack,35,Male,Agricultural Laborer,Employment,2022-10-11,Active
MIG00239,Dhule,Odisha,Cuttack,19,Male,Security Guard,Education,2023-03-28,Active
MIG00240,Washim,Madhya Pradesh,Bhopal,52,Other,Driver,Marriage,2021-01-02,Active
MIG00241,Malegaon,Odisha,Cuttack,28,Other,Driver,Displacement,2021-08-08,Active
MIG00242,Bhusawal,Telangana,Warangal,24,Other,Domestic Help,Education,2025-01-05,Active
MIG00243,Sindhudurg,Rajasthan,Udaipur,50,Other,Daily Wage Laborer,Marriage,2022-12-27,Active
MIG00244,Yavatmal,West Bengal,Howrah,54,Male,Construction Worker,Employment,2024-02-02,Active
MIG00245,Washim,Uttar Pradesh,Lucknow,48,Other,Daily Wage Laborer,Education,2021-07-19,Active
MIG00246,Vasai-Virar,Gujarat,Vadodara,53,Other,Agricultural Laborer,Employment,2021-12-19,Active
MIG00247,Palghar,Uttar Pradesh,Lucknow,44,Male,Driver,Family Move,2022-06-19,Active
MIG00248,Bhiwandi,Rajasthan,Jodhpur,57,Female,Daily Wage Laborer,Employment,2025-06-08,Active
MIG00249,Yavatmal,Odisha,Bhubaneswar,53,Other,Construction Worker,Displacement,2024-05-25,Active
MIG00250,Sindhudurg,Chhattisgarh,Raipur,32,Female,Agricultural Laborer,Marriage,2025-10-12,Active
MIG00251,Ulhasnagar,Madhya Pradesh,Jabalpur,33,Female,Security Guard,Employment,2023-06-14,Active
MIG00252,Yavatmal,Bihar,Muzaffarpur,32,Male,Domestic Help,Employment,2025-10-19,Active
MIG00253,Bhusawal,Uttar Pradesh,Lucknow,46,Male,Construction Worker,Education,2024-12-25,Active
MIG00254,Malegaon,West Bengal,Kolkata,48,Female,Domestic Help,Education,2024-10-23,Active
MIG00255,Dhule,Uttar Pradesh,Lucknow,59,Other,Agricultural Laborer,Marriage,2021-05-31,Active
MIG00256,Nagpur,Andhra Pradesh,Vijayawada,48,Other,Domestic Help,Displacement,2024-04-22,Active
MIG00257,Jalna,Gujarat,Ahmedabad,59,Male,Agricultural Laborer,Employment,2022-01-05,Active
MIG00258,Malegaon,Odisha,Bhubaneswar,36,Female,Security Guard,Displacement,2023-05-07,Active
MIG00259,Malegaon,West Bengal,Durgapur,33,Male,Security Guard,Education,2024-01-12,Active
MIG00260,Aurangabad,Uttar Pradesh,Varanasi,34,Female,Agricultural Laborer,Employment,2021-07-21,Active
MIG00261,Gondia,Uttar Pradesh,Varanasi,52,Female,Domestic Help,Displacement,2025-09-29,Active
MIG00262,Nagpur,Madhya Pradesh,Bhopal,22,Other,Driver,Employment,2025-03-08,Active
